County,Municipality,Per Capita Taxable Property Value,Income Per Taxpayer
Essex,Belleville,"81,816","26,295.05"
Essex,Roseland,"307,472","63,789.71"
Essex,Verona,"164,787","56,109.82"
Gloucester,Clayton,"59,556","24,712.91"
Gloucester,Glassboro,"62,419","27,938.89"
Essex,North Caldwell,"251,986","114,252.66"
Bergen,Woodcliff Lake,"345,963","102,718.15"
Sussex,Andover Twp,"115,028","47,032.59"
Bergen,Wood-Ridge,"140,743","38,894.38"
Somerset,Watchung,"279,339","97,482.48"
Bergen,Washington Twp,"188,819","51,931.48"
Bergen,Waldwick,"152,088","40,262.83"
Sussex,Green,"129,276","48,058.85"
Sussex,Fredon,"141,696","45,206.03"
Sussex,Frankford,"153,767","37,012.24"
Burlington,Bordentown,"91,646","32,974.01"
Burlington,Bass River,"126,934","29,125.03"
Sussex,Branchville,"177,354","31,498.30"
Sussex,Lafayette,"148,398","39,558.39"
Sussex,Montague,"90,481","28,167.96"
Sussex,Hamburg,"90,305","30,535.95"
Sussex,Hardyston,"146,096","37,840.76"
Bergen,Tenafly,"278,921","112,243.10"
Bergen,Upper Saddle River,"340,053","107,680.37"
Bergen,Saddle Brook,"163,918","33,909.64"
Bergen,South Hackensack,"285,990","25,282.14"
Bergen,Ramsey,"229,833","62,049.69"
Bergen,Paramus,"327,212","46,396.18"
Bergen,Ridgewood,"245,769","92,935.65"
Somerset,Branchburg,"198,685","55,363.09"
Bergen,Ridgefield,"158,962","28,722.98"
Bergen,Rochelle Park,"165,487","34,702.84"
Somerset,Franklin Twp,"140,317","39,851.77"
Bergen,River Vale,"202,343","66,429.45"
Somerset,Bridgewater,"199,775","52,989.51"
Somerset,Millstone,"135,243","38,107.25"
Bergen,Rutherford,"142,714","42,448.67"
Somerset,Hillsborough,"154,739","47,791.58"
Somerset,Montgomery,"205,425","79,891.10"
Somerset,Peapack Gladstone,"286,264","139,128.59"
Somerset,Rocky Hill,"184,338","53,707.02"
Somerset,Somerville,"101,846","30,919.08"
Somerset,Warren,"268,031","99,680.96"
Bergen,Oakland,"185,850","52,450.09"
Bergen,Old Tappan,"304,336","96,948.57"
