County,Municipality,President DEM,President REP,US Senate DEM,US Senate REP,Congress DEM,Congress REP
Union,Roselle Park,"3,064","1,931","2,763","1,588","2,440","1,522"
Union,Westfield,"8,080","7,555","7,393","6,944","6,345","7,703"
Union,Union Twp,"16,423","6,464","14,941","5,413","20,250","19,556"
Warren,Hackettstown,"1,661","1,973","1,572","1,900","1,321","2,059"
Warren,Allamuchy,868,"1,489",836,"1,419",688,"1,509"
Atlantic,Weymouth,650,701,636,615,456,817
Bergen,Alpine,342,522,358,426,298,462
Bergen,Bergenfield,"6,665","3,773","6,314","3,149","5,410","3,514"
Bergen,Carlstadt,"1,416","1,165","1,348",997,"1,388",873
Atlantic,Mullica,"1,430","1,439","1,366","1,334","1,007","1,685"
Atlantic,Pleasantville,"5,675",450,"5,119",396,"4,519",752
Atlantic,Port Republic,274,390,252,382,167,464
Atlantic,Ventnor,"2,170","1,965","2,042","1,802","1,528","2,335"
Morris,Pequannock,"3,326","4,850","3,122","4,353","2,399","4,865"
Bergen,Closter,"1,857","1,639","1,782","1,400","1,512","1,564"
Bergen,Cresskill,"1,777","1,805","1,689","1,526","1,710","1,366"
Warren,Mansfield,"1,232","1,789","1,172","1,681",952,"1,826"
Warren,Oxford,403,591,376,558,312,614
Warren,Knowlton,441,833,426,799,341,853
Warren,Lopatcong,"1,638","1,964","1,543","1,826","1,166","2,022"
Atlantic,Buena,"1,011",847,970,730,643,"1,087"
Atlantic,Buena Vista,"1,920","1,483","1,875","1,295","1,414","1,765"
Atlantic,Absecon,"2,172","2,063","2,086","1,921","1,552","2,482"
Atlantic,Atlantic City,"9,948","1,548","8,770","1,391","7,939","2,111"
Bergen,Dumont,"4,407","3,465","4,178","3,049","3,415","3,494"
Bergen,Englewood,"8,855","2,502","8,315","1,791","7,758","2,112"
Bergen,Englewood Cliffs,"1,086","1,369","1,093","1,155","1,156","1,034"
Bergen,East Rutherford,"1,859","1,340","1,711","1,156","1,808",935
Bergen,Elmwood Park,"4,506","2,790","4,092","2,275","4,326","1,826"
Bergen,Garfield,"5,538","2,540","4,889","1,941","5,048","1,625"
Bergen,Hackensack,"11,335","2,835","10,580","2,467","9,514","2,597"
Monmouth,Roosevelt,339,109,322,92,274,135
Bergen,Fairview,"2,549",944,"2,442",737,"2,150",724
Monmouth,Sea Bright,270,379,236,395,291,297
Bergen,Franklin Lakes,"1,601","3,910","1,541","3,489","1,296","3,626"
Monmouth,Ocean Twp,"6,621","6,326","6,032","6,055","5,145","6,428"
Monmouth,Red Bank,"2,730","1,523","2,430","1,620","2,253","1,612"
Bergen,Harrington Park,"1,218","1,340","1,167","1,183",901,"1,350"
Monmouth,Monmouth Beach,662,"1,132",566,"1,146",731,936
Monmouth,Neptune City,"1,183",897,"1,061",874,858,"1,000"
Warren,Independence,964,"1,500",924,"1,414",772,"1,535"
Monmouth,Marlboro,"8,450","9,915","8,334","9,059","8,646","8,359"
Warren,Hope,337,566,317,533,256,585
Monmouth,Middletown,"12,801","18,426","10,642","19,331","24,959","23,962"
Monmouth,Long Branch,"5,421","2,897","5,012","2,709","5,431","2,241"
Monmouth,Manasquan,"1,201","1,826","1,105","1,762",776,"2,028"
Atlantic,Hamilton,"6,748","4,334","6,379","4,024","4,805","5,603"
Atlantic,Longport,160,337,171,299,112,360
Atlantic,Somers Point,"2,506","2,077","2,329","1,942","1,647","2,647"
Monmouth,Sea Girt,294,832,284,804,212,833
Bergen,Allendale,"1,322","2,057","1,217","1,916","1,030","2,020"
Bergen,Bogota,"2,308","1,085","2,182",963,"1,766","1,049"
Bergen,Cliffside Park,"5,410","2,627","5,187","2,200","5,105","2,045"
Bergen,Demarest,"1,211","1,127","1,181","1,001","1,027","1,092"
Bergen,Ho-Ho-Kus,826,"1,447",772,"1,325",641,"1,431"
Bergen,Haworth,992,842,976,733,793,829
Bergen,Leonia,"2,451","1,135","2,335",975,"2,309",894
Bergen,Lodi,"5,420","2,508","4,961","2,098","4,280","2,132"
Bergen,Lyndhurst,"4,689","3,536","4,256","2,954","4,463","2,417"
Bergen,Maywood,"2,513","1,877","2,404","1,629","2,027","1,712"
Bergen,Midland Park,"1,533","2,135","1,401","1,932","1,129","2,119"
Bergen,Moonachie,584,349,551,255,528,220
Bergen,New Milford,"3,780","3,036","3,603","2,672","3,057","2,950"
Bergen,Northvale,924,"1,100",934,941,752,"1,058"
Monmouth,West Long Branch,"1,461","2,029","1,347","1,894","1,620","1,647"
Morris,Boonton Twp,870,"1,430",795,"1,331",597,"1,522"
Monmouth,Shrewsbury Twp,286,129,252,138,219,154
Atlantic,Corbin City,91,138,82,133,59,157
Monmouth,Spring Lake Heights,"1,122","1,481","1,057","1,427",787,"1,663"
Monmouth,Union Beach,"1,109",976,884,"1,045","1,009",887
Atlantic,Folsom,427,442,397,403,252,545
Monmouth,Upper Freehold,"1,372","2,287","1,210","2,222",951,"2,467"
Atlantic,Egg Harbor,"1,121",674,"1,054",590,766,854
Passaic,Pompton Lakes,"2,396","2,418","2,192","2,140","1,848","2,283"
Passaic,North Haledon,"1,593","2,916","1,463","2,592","1,223","2,656"
Passaic,Wayne,"11,283","13,983","10,419","12,024","9,038","12,485"
Passaic,Ringwood,"2,845","3,411","2,621","3,008","2,208","3,282"
Ocean,Surf City,246,402,221,384,171,378
Ocean,Seaside Heights,205,231,166,215,135,200
Passaic,Haledon,"2,142",735,"1,957",617,"2,134",489
Passaic,Bloomingdale,"1,670","1,849","1,523","1,625","1,305","1,759"
Salem,Elmer,224,356,240,315,119,444
Salem,Mannington,306,406,297,376,198,491
Hunterdon,Lebanon Twp,"1,140","2,048","1,065","1,858",843,"2,020"
Hunterdon,Raritan Twp,"4,843","6,798","4,464","6,391","3,722","6,951"
Hunterdon,Kingwood,741,"1,282",673,"1,176",510,"1,266"
Hunterdon,Lebanon,335,471,305,437,253,475
Hunterdon,West Amwell,733,827,675,732,516,845
Hunterdon,Readington,"3,039","5,537","2,831","5,119","2,211","5,520"
Hunterdon,Tewksbury,"1,100","2,291","1,020","2,168",863,"2,267"
Hunterdon,Hampton Boro,262,326,237,286,177,328
Hunterdon,High Bridge,893,846,781,805,662,926
Hunterdon,Frenchtown,431,250,380,239,317,299
Camden,Tavistock,1,2,1,2,1,2
Camden,Winslow,"12,183","4,937","11,778","4,497","11,968","4,098"
Camden,Pine Hill,"3,087",987,"2,973",890,"3,017",809
Camden,Somerdale,"1,718",635,"1,654",544,"1,685",504
Cape May,Stone Harbor,216,411,195,376,122,457
Cape May,Lower Township,"4,823","5,493","4,569","4,563","2,821","6,422"
Cape May,Ocean City,"2,721","3,841","2,527","3,394","1,796","4,173"
Cumberland,Hopewell,856,"1,188",868,"1,019",496,"1,431"
Cumberland,Commercial,983,701,873,563,603,907
Cape May,Wildwood Crest,659,"1,046",638,887,404,"1,149"
Cape May,West Cape May,385,235,343,217,254,318
Burlington,Springfield,743,"1,071",708,"1,025",544,"1,188"
Burlington,Westampton,"3,060","1,368","2,964","1,310","2,494","1,733"
Burlington,Woodland,275,379,250,355,186,428
Camden,Berlin,"1,851","1,720","1,815","1,585","1,956","1,428"
Camden,Brooklawn,542,266,513,239,522,228
Camden,Chesilhurst,629,123,595,106,589,98
Camden,Gibbsboro,705,517,670,457,716,430
Camden,Gloucester Twp,"18,178","9,999","17,838","8,869","18,443","8,095"
Camden,Haddonfield,"3,849","3,054","2,272","1,805","3,480","3,047"
Camden,Oaklyn,"1,200",704,"1,144",666,"1,194",612
Camden,Magnolia,"1,383",580,"1,363",509,"1,407",465
Burlington,Riverton,838,638,830,596,656,764
Burlington,Pemberton,346,294,322,278,254,348
Burlington,Riverside,"1,816","1,073","1,763",954,"1,384","1,325"
Burlington,North Hanover,934,"1,211",901,"1,144",723,"1,304"
Burlington,Palmyra,"2,308","1,287","2,234","1,181","2,318","1,077"
Burlington,Mount Laurel,"12,634","9,797","12,137","9,361","9,763","11,781"
Burlington,New Hanover,194,246,175,237,151,263
Burlington,Medford,"5,747","7,499","5,578","7,145","4,398","8,423"
Burlington,Mount Holly,"2,636","1,127","2,511","1,070","2,094","1,481"
