County,Municipality,Area,Density
Bergen,Washington Twp,3,3168
Bergen,Waldwick,2,4762
Sussex,Green,16,227
Sussex,Fredon,18,191
Sussex,Frankford,34,163
Burlington,Bordentown,1,4211
Burlington,Bass River,75,19
Sussex,Branchville,1,1398
Sussex,Lafayette,18,140
Sussex,Montague,44,88
Sussex,Hamburg,1,2814
Sussex,Hardyston,32,253
Bergen,Tenafly,5,3182
Bergen,Upper Saddle River,5,1575
Bergen,Saddle Brook,3,5212
Bergen,South Hackensack,1,3374
Bergen,Ramsey,6,2668
Bergen,Paramus,10,2534
Bergen,Ridgewood,6,4383
Somerset,Branchburg,20,725
Bergen,Ridgefield,3,4414
Bergen,Rochelle Park,1,5361
Somerset,Franklin Twp,46,1376
Bergen,River Vale,4,2449
Somerset,Bridgewater,32,1401
Somerset,Millstone,1,564
Bergen,Rutherford,3,6484
Somerset,Hillsborough,55,713
Somerset,Montgomery,32,694
Somerset,Peapack Gladstone,6,442
Somerset,Rocky Hill,1,1105
Somerset,Somerville,2,5219
Somerset,Warren,20,803
Bergen,Oakland,8,1523
Bergen,Old Tappan,3,1755
Bergen,Palisades Park,1,15949
Monmouth,Wall,31,850
Monmouth,Tinton Falls,15,1154
Monmouth,Spring Lake,1,2250
Monmouth,Rumson,5,1392
Monmouth,Oceanport,3,1834
Monmouth,Neptune Twp,8,3409
Monmouth,Millstone Twp,37,287
Monmouth,Howell,61,844
Monmouth,Matawan,2,3877
Monmouth,Loch Arbour,0,1930
Monmouth,Keyport,1,5166
Monmouth,Hazlet,6,3639
Monmouth,Freehold,2,6204
Monmouth,Fair Haven,2,3805
Cumberland,Bridgeton,6,4092
Cape May,Woodbine,8,307
Monmouth,Bradley Beach,1,7049
Cumberland,Fairfield,41,161
Monmouth,Avon By The Sea,0,4449
Cumberland,Deerfield,17,186
Monmouth,Allentown,1,3027
Monmouth,Aberdeen,5,3334
Cumberland,Lawrence,37,89
Middlesex,South River,3,5826
Cumberland,Greenwich,18,46
Sussex,Vernon,68,345
Middlesex,South Brunswick,41,1089
Sussex,Sussex,1,3573
Burlington,Maple Shade,4,5041
Union,Berkeley Heights,6,2154
Sussex,Walpack,24,1
Burlington,Fieldsboro,0,1970
Sussex,Ogdensburg,2,1042
Burlington,Edgewater Park,3,3068
Sussex,Stanhope,2,1928
Burlington,Lumberton,13,970
Sussex,Sandyston,43,46
Burlington,Florence,10,1261
Burlington,Burlington Twp,13,1693
Burlington,Cinnaminson,8,2188
Burlington,Delanco,2,1965
Burlington,Eastampton,6,1059
Union,Cranford,5,4765
Union,Elizabeth,12,10264
Union,Garwood,1,6850
Burlington,Bordentown Twp,9,1335
Cumberland,Maurice River,93,87
Cumberland,Shiloh,1,425
Cumberland,Stow Creek,18,78
Cumberland,Vineland,68,889
Middlesex,New Brunswick,5,10738
Middlesex,Plainsboro,12,1967
Morris,Parsippany-Troy Hills,24,2280
Morris,Randolph,21,1245
Cape May,Dennis,61,105
Cape May,Middle Township,70,268
Cape May,Avalon,4,317
Cape May,Cape May Point,0,957
Camden,Woodlynne,0,13482
Cape May,Wildwood,1,4039
Cape May,West Wildwood,0,2114
Cape May,Upper Township,62,197
Cape May,Sea Isle City,2,967
Cape May,North Wildwood,2,2279
Ocean,South Toms River,1,3159
Ocean,Seaside Park,1,2442
Morris,Rockaway Twp,41,589
Morris,Rockaway,2,3133
Passaic,Clifton,11,7524
Ocean,Tuckerton,3,1001
Ocean,Toms River,40,2274
Ocean,Stafford,46,588
Morris,Kinnelon,18,578
Camden,Laurel Springs,0,4130
Camden,Lindenwold,4,4571
Camden,Merchantville,1,6365
Camden,Mount Ephraim,1,5311
Camden,Waterford,36,297
Camden,Voorhees,11,2548
Morris,Netcong,1,3890
Camden,Pine Valley,1,12
Camden,Pennsauken,10,3426
Camden,Stratford,2,4508
Camden,Runnemede,2,4102
Morris,Madison,4,3831
Morris,Lincoln Park,6,1650
Morris,Mine Hill,3,1252
Morris,Mendham,6,843
Morris,Morris Twp,16,1445
Morris,Montville,18,1175
Morris,Mount Olive,29,969
Morris,Morristown,3,6322
Salem,Oldmans,19,94
Salem,Pennsville,21,622
Salem,Elsinboro,12,86
Salem,Lower Alloways Creek,45,39
Camden,Berlin Twp,3,1678
Camden,Camden,9,8660
Camden,Bellmawr,3,3875
Camden,Gloucester City,2,4931
Camden,Collingswood,2,7620
Camden,Clementon,2,2619
Camden,Cherry Hill,24,2945
Camden,Hi-Nella,0,3770
Camden,Haddon Twp,3,5468
Camden,Haddon Heights,2,4848
Somerset,Bernardsville,13,601
Somerset,Bernards Twp,24,1121
Salem,Woodstown,2,2224
Salem,Salem,2,2207
Salem,Quinton,24,110
Salem,Pilesgrove,35,115
Passaic,Hawthorne,3,5672
Passaic,Little Falls,3,5282
Passaic,Passaic,3,22291
Somerset,Bedminster,26,315
Somerset,South Bound Brook,1,7294
Warren,Washington Twp,18,370
Sussex,Stillwater,27,150
Burlington,Washington Twp,100,7
Burlington,Tabernacle,49,142
Burlington,Wrightstown,2,453
Burlington,Willingboro,8,4114
Camden,Barrington,2,4283
Camden,Audubon,1,5895
Passaic,Woodland Park,3,4199
Passaic,West Milford,75,346
Salem,Carneys Point,17,476
Passaic,Prospect Park,0,12267
Passaic,Paterson,8,17226
Passaic,Wanaque,8,1395
Passaic,Totowa,4,2740
