County,Municipality,Municipal Budget per Capita ($)
Morris,Mount Olive,1175
Morris,Morristown,2625
Salem,Oldmans,653
Salem,Pennsville,1143
Salem,Elsinboro,772
Salem,Lower Alloways Creek,5532
Camden,Berlin Twp,1405
Camden,Camden,2175
Camden,Bellmawr,1077
Camden,Gloucester City,1501
Camden,Collingswood,1094
Camden,Clementon,1037
Camden,Cherry Hill,911
Camden,Hi-Nella,1033
Camden,Haddon Twp,777
Camden,Haddon Heights,940
Somerset,Bernardsville,1698
Somerset,Bernards Twp,1401
Salem,Woodstown,947
Salem,Salem,1709
Salem,Quinton,557
Salem,Pilesgrove,705
Passaic,Hawthorne,1012
Passaic,Little Falls,1087
Passaic,Passaic,1190
Somerset,Bedminster,1300
Somerset,South Bound Brook,1181
Warren,Washington Twp,1457
Sussex,Stillwater,881
Burlington,Washington Twp,2052
Burlington,Tabernacle,485
Burlington,Wrightstown,1546
Burlington,Willingboro,1207
Camden,Barrington,955
Camden,Audubon,1010
Passaic,Woodland Park,1229
Passaic,West Milford,1250
Salem,Carneys Point,1107
Passaic,Prospect Park,963
Passaic,Paterson,1669
Passaic,Wanaque,1055
Passaic,Totowa,1507
