County,Municipality,Violent Crimes,Non-Violent Crimes
Somerset,Peapack Gladstone,1,13
Somerset,Rocky Hill,-,-
Somerset,Somerville,18,262
Somerset,Warren,1,132
Bergen,Oakland,8,109
Bergen,Old Tappan,0,25
Bergen,Palisades Park,-,-
Monmouth,Wall,22,361
Monmouth,Tinton Falls,13,457
Monmouth,Spring Lake,0,75
Monmouth,Rumson,1,88
Monmouth,Oceanport,11,61
Monmouth,Neptune Twp,152,1372
Monmouth,Millstone Twp,-,-
Monmouth,Howell,41,638
Monmouth,Matawan,9,95
Monmouth,Loch Arbour,0,10
Monmouth,Keyport,24,173
Monmouth,Hazlet,10,242
Monmouth,Freehold,39,179
Monmouth,Fair Haven,2,43
Cumberland,Bridgeton,322,1108
Cape May,Woodbine,-,-
Monmouth,Bradley Beach,4,152
Cumberland,Fairfield,-,-
Monmouth,Avon By The Sea,1,54
Cumberland,Deerfield,-,-
Monmouth,Allentown,2,8
Monmouth,Aberdeen,24,299
Cumberland,Lawrence,-,-
Middlesex,South River,22,206
Cumberland,Greenwich,-,-
Sussex,Vernon,14,341
Middlesex,South Brunswick,34,518
Sussex,Sussex,-,-
Burlington,Maple Shade,35,467
Union,Berkeley Heights,2,103
Sussex,Walpack,-,-
Burlington,Fieldsboro,-,-
Sussex,Ogdensburg,0,28
Burlington,Edgewater Park,22,155
Sussex,Stanhope,1,47
Burlington,Lumberton,14,326
Sussex,Sandyston,-,-
Burlington,Florence,14,108
Burlington,Burlington Twp,34,328
Burlington,Cinnaminson,23,359
Burlington,Delanco,3,97
Burlington,Eastampton,3,114
Union,Cranford,13,206
Union,Elizabeth,1007,4351
Union,Garwood,0,81
Burlington,Bordentown Twp,11,178
Cumberland,Maurice River,-,-
Cumberland,Shiloh,-,-
Cumberland,Stow Creek,-,-
Cumberland,Vineland,225,2541
Middlesex,New Brunswick,382,1511
Middlesex,Plainsboro,5,171
Morris,Parsippany-Troy Hills,39,496
Morris,Randolph,4,211
Cape May,Dennis,-,-
Cape May,Middle Township,47,898
Cape May,Avalon,3,203
Cape May,Cape May Point,0,7
Camden,Woodlynne,29,143
Cape May,Wildwood,93,704
Cape May,West Wildwood,0,39
Cape May,Upper Township,-,-
Cape May,Sea Isle City,5,207
Cape May,North Wildwood,23,351
Ocean,South Toms River,9,92
Ocean,Seaside Park,6,76
Morris,Rockaway Twp,12,448
Morris,Rockaway,4,70
Passaic,Clifton,184,1579
Ocean,Tuckerton,-,-
Ocean,Toms River,81,2893
Ocean,Stafford,16,471
Morris,Kinnelon,7,53
Camden,Laurel Springs,2,75
Camden,Lindenwold,133,705
Camden,Merchantville,6,101
Camden,Mount Ephraim,9,136
Camden,Waterford,18,168
Camden,Voorhees,51,617
Morris,Netcong,4,79
Camden,Pine Valley,0,4
Camden,Pennsauken,111,1247
Camden,Stratford,16,158
Camden,Runnemede,16,275
Morris,Madison,7,106
Morris,Lincoln Park,6,99
Morris,Mine Hill,1,46
Morris,Mendham,1,27
Morris,Morris Twp,11,133
Morris,Montville,5,174
Morris,Mount Olive,11,261
Morris,Morristown,85,353
Salem,Oldmans,-,-
Salem,Pennsville,26,376
Salem,Elsinboro,1,14
Salem,Lower Alloways Creek,1,28
Camden,Berlin Twp,12,270
Camden,Camden,1993,4007
Camden,Bellmawr,21,291
Camden,Gloucester City,29,359
Camden,Collingswood,25,531
Camden,Clementon,22,263
Camden,Cherry Hill,112,2249
Camden,Hi-Nella,4,36
Camden,Haddon Twp,21,420
Camden,Haddon Heights,8,136
Somerset,Bernardsville,0,29
Somerset,Bernards Twp,5,98
Salem,Woodstown,2,44
Salem,Salem,49,264
Salem,Quinton,-,-
Salem,Pilesgrove,-,-
Passaic,Hawthorne,8,249
Passaic,Little Falls,17,232
Passaic,Passaic,513,1459
Somerset,Bedminster,2,46
Somerset,South Bound Brook,2,40
Warren,Washington Twp,3,37
Sussex,Stillwater,-,-
Burlington,Washington Twp,-,-
Burlington,Tabernacle,-,-
Burlington,Wrightstown,-,-
Burlington,Willingboro,111,676
Camden,Barrington,9,60
Camden,Audubon,12,359
Passaic,Woodland Park,13,168
Passaic,West Milford,18,305
Salem,Carneys Point,30,172
Passaic,Prospect Park,8,110
Passaic,Paterson,1552,4640
Passaic,Wanaque,2,103
Passaic,Totowa,35,373
