,,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Graduates,Graduates,Graduates,Graduates,Graduates,HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%)
County  ,School District Name  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  
Hudson,Jersey City,-,"1,759","1,682","1,671","1,633",-,"1,296","1,259","1,295","1,294",-,73.68,74.85,77.5,79.24
Bergen,Ramsey,-,232,226,222,203,-,227,223,213,198,-,97.84,98.67,95.95,97.54
Essex,Glen Ridge,-,134,130,143,127,-,131,126,140,123,-,97.76,96.92,97.9,96.85
Bergen,Ramapo Indian Hills Regional,-,582,572,606,600,-,568,555,590,582,-,97.59,97.03,97.36,97
Essex,Fairfield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Ridgefield Park,-,250,252,235,270,-,232,232,220,255,-,92.8,92.06,93.62,94.44
Hudson,Weehawken,-,81,82,96,70,-,69,74,94,66,-,85.19,90.24,97.92,94.29
Bergen,Ridgefield,-,143,130,141,147,-,128,119,116,122,-,89.51,91.54,82.27,82.99
Essex,Irvington,-,418,444,364,392,-,294,314,266,306,-,70.33,70.72,73.08,78.06
Hudson,Union City,-,822,905,890,924,-,719,720,760,788,-,87.47,79.56,85.39,85.28
Passaic,Prospect Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Passaic,Ringwood,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Passaic,Pompton Lakes,-,155,160,188,178,-,147,152,181,174,-,94.84,95,96.28,97.75
Warren,Warren County Vocational,-,121,108,92,107,-,115,106,91,105,-,95.04,98.15,98.91,98.13
Passaic,Wayne,-,726,712,671,705,-,700,681,645,672,-,96.42,95.65,96.13,95.32
Warren,Warren Hills Regional,-,306,339,323,335,-,278,321,302,315,-,90.85,94.69,93.5,94.03
Passaic,West Milford,-,315,309,282,296,-,302,291,268,277,-,95.87,94.17,95.04,93.58
Warren,Phillipsburg,-,396,402,458,443,-,348,365,420,404,-,87.88,90.8,91.7,91.2
Passaic,Totowa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,Pohatcong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Passaic,Wanaque,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,North Warren Regional,-,171,151,165,157,-,162,143,154,145,-,94.74,94.7,93.33,92.36
Salem,Elmer,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Lakewood,-,268,299,292,335,-,197,225,221,274,-,73.51,75.25,75.68,81.79
Warren,Oxford,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Lakehurst,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,Lopatcong,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Passaic,Woodland Park,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Lacey,-,370,363,324,309,-,346,338,290,281,-,93.51,93.11,89.51,90.94
Warren,Mansfield,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Salem,Alloway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Jackson,-,743,798,755,731,-,693,727,708,684,-,93.27,91.1,93.77,93.57
Warren,Hope,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warren,Knowlton,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ocean,Beach Haven,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cape May,Middle Township,-,218,209,211,200,-,176,170,172,161,-,80.73,81.34,81.52,80.5
