,,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Graduates,Graduates,Graduates,Graduates,Graduates,HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%)
County  ,School District Name  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  
Sussex,Ogdensburg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Newton,-,210,183,198,223,-,193,174,175,208,-,91.9,95.08,88.38,93.27
Sussex,Montague,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Lenape Valley Regional,-,202,215,236,181,-,182,197,221,163,-,90.1,91.63,93.64,90.06
Sussex,Lafayette,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Kittatinny Regional,-,169,190,170,168,-,163,183,163,166,-,96.45,96.32,95.88,98.81
Somerset,Watchung,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Somerset,Watchung Hills Regional,-,559,557,552,565,-,550,546,532,550,-,98.39,98.03,96.38,97.35
Sussex,Andover Regional,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Bergen County Vocational,-,324,400,416,418,-,323,398,414,416,-,99.69,99.5,99.52,99.52
Bergen,Bergenfield,-,296,313,298,339,-,289,302,290,330,-,97.64,96.49,97.32,97.35
Bergen,Carlstadt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Bogota,-,100,96,96,83,-,88,89,89,78,-,88,92.71,92.71,93.98
Bergen,Cliffside Park,-,299,305,290,289,-,247,255,239,254,-,82.61,83.61,82.41,87.89
Bergen,Carlstadt-East Rutherford Regional,-,153,120,130,144,-,142,117,126,131,-,92.81,97.5,96.92,90.97
Bergen,Cresskill,-,131,138,125,147,-,126,135,121,145,-,96.18,97.83,96.8,98.64
Bergen,Closter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bergen,Dumont,-,202,207,215,199,-,188,200,209,194,-,93.07,96.62,97.21,97.49
Bergen,Demarest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Green,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Fredon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Hamburg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Byram,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Branchville,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Franklin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sussex,Frankford,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,
County School District Summary,,,,,,,,,,,,,,,,
,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Graduates,Graduates,Graduates,Graduates,Graduates,HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),
County  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,
Union,-,"6,565","6,685","6,901","6,933",-,"5,898","5,945","6,100","6,230",-,89.84,88.93,88.39,89.86,
Hunterdon,-,"1,797","1,739","1,791","1,752",-,"1,723","1,684","1,727","1,670",-,95.88,96.84,96.43,95.32,
Sussex,-,"1,928","1,974","1,890","1,807",-,"1,797","1,858","1,792","1,712",-,93.21,94.12,94.81,94.74,
Somerset,-,"4,507","4,429","4,395","4,466",-,"4,213","4,174","4,144","4,185",-,93.48,94.24,94.29,93.71,
Cape May,-,"1,032",952,998,965,-,901,838,875,862,-,87.31,88.03,87.68,89.33,
Salem,-,808,865,851,873,-,719,764,743,785,-,88.99,88.32,87.31,89.92,
Essex,-,"9,115","8,936","8,614","9,064",-,"7,605","7,574","7,491","7,867",-,83.43,84.76,86.96,86.79,
Burlington,-,"5,527","5,396","5,549","5,447",-,"5,117","5,047","5,178","5,154",-,92.58,93.53,93.31,94.62,
Middlesex,-,"9,379","9,483","9,470","9,629",-,"8,443","8,601","8,564","8,852",-,90.02,90.7,90.43,91.93,
Cumberland,-,"1,793","1,797","1,863","1,934",-,"1,476","1,481","1,513","1,597",-,82.32,82.42,81.21,82.57,
Monmouth,-,"8,008","8,126","8,082","7,867",-,"7,509","7,675","7,592","7,441",-,93.77,94.45,93.94,94.58,
Camden,-,"5,975","5,941","6,118","5,786",-,"5,172","5,268","5,358","5,099",-,86.56,88.67,87.58,88.13,
Hudson,-,"5,800","5,825","5,850","5,922",-,"4,787","4,802","4,966","5,061",-,82.53,82.44,84.89,85.46,
Morris,-,"6,090","6,218","6,385","6,258",-,"5,795","5,902","6,050","5,943",-,95.16,94.92,94.75,94.97,
Atlantic,-,"3,430","3,478","3,422","3,329",-,"3,054","3,121","3,082","3,048",-,89.04,89.74,90.06,91.56,
Gloucester,-,"3,729","3,802","3,808","3,830",-,"3,426","3,505","3,553","3,560",-,91.87,92.19,93.3,92.95,
Ocean,-,"5,822","5,818","5,626","5,642",-,"5,280","5,289","5,112","5,172",-,90.69,90.91,90.86,91.67,
Bergen,-,"10,610","10,674","10,449","10,601",-,"10,011","10,114","9,920","10,081",-,94.35,94.75,94.94,95.09,
Mercer,-,"4,672","4,541","4,671","4,587",-,"4,208","4,041","4,187","4,109",-,90.07,88.99,89.64,89.58,
Passaic,-,"6,318","6,231","5,997","6,210",-,"5,505","5,360","5,373","5,492",-,87.13,86.02,89.59,88.44,
Warren,-,"1,366","1,373","1,406","1,409",-,"1,245","1,286","1,313","1,311",-,91.14,93.66,93.39,93.04,
,,,,,,,,,,,,,,,,
New Jersey State Summary,,,,,,,,,,,,,,,,
Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Adj. Cohort Count,Graduates,Graduates,Graduates,Graduates,Graduates,HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),HS Grad. Rate (%),,
2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,2013-2014  ,2014-2015  ,2015-2016  ,2016-2017  ,2017-2018  ,,
-,"104,271",-,-,-,-,"93,884",-,-,-,-,90.04,-,-,-,,
,,,,,,,,,,,,,,,,
"DISCLAIMER: The information in the website may be used, downloaded, reproduced or reprinted provided",,,,,,,,,,,,,,,,
that appropiate acknowledgment appears in all copies or works created with the downloaded information.,,,,,,,,,,,,,,,,
"You may not use or misrepresent our name, logos, trademarks, other intellectual property or materials for your own use or reprint.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"New Jersey Data Book(SM)  Rutgers Center for Goverment Services, New Brunswick, NJ",,,,,,,,,,,,,,,,
New Jersey Data Book is a Service Mark of the Rutgers Center for Goverment Services,,,,,,,,,,,,,,,,
