"","","","","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Residential Buiding Permits","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Certificates of Occupancy","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Occupied Units Paying Rent","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Median Rent ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Average Residential Property Value ($)","Housing Units","Housing Units","Housing Units","Housing Units","Housing Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","% Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units","% Owner Occupied Units"
"Hunterdon","Lebanon Twp","23","7","4","5","3","2","1","4","4","0","6","2","302","293","291","182","-","1,322","968","1,119","1,294","-","353,092","366,163","367,362","369,320","368,694","2,439","2,439","2,439","2,439","2,439","2,296","2,296","2,296","2,296","2,296","94.14","94.14","94.14","94.14","94.14","2,021","2,021","2,021","2,021","2,021","88.02","88.02","88.02","88.02","88.02"
"Hunterdon","Raritan Twp","16","7","41","41","128","43","241","41","33","2","119","87","871","911","898","957","-","1,494","1,397","1,431","1,618","-","389,043","400,381","410,626","408,255","415,432","8,288","8,288","8,288","8,288","8,288","8,056","8,056","8,056","8,056","8,056","97.2","97.2","97.2","97.2","97.2","7,146","7,146","7,146","7,146","7,146","88.7","88.7","88.7","88.7","88.7"
"Hunterdon","Kingwood","23","7","5","2","3","7","10","4","8","0","6","6","135","110","134","128","-","2,100","2,026","1,417","1,368","-","365,542","352,141","358,552","366,562","361,916","1,569","1,569","1,569","1,569","1,569","1,446","1,446","1,446","1,446","1,446","92.16","92.16","92.16","92.16","92.16","1,227","1,227","1,227","1,227","1,227","84.85","84.85","84.85","84.85","84.85"
"Hunterdon","Lebanon","23","7","0","0","0","0","0","0","0","0","0","0","296","303","331","297","-","1,821","1,853","1,958","1,920","-","270,611","267,733","276,316","272,704","285,808","664","664","664","664","664","602","602","602","602","602","90.66","90.66","90.66","90.66","90.66","427","427","427","427","427","70.93","70.93","70.93","70.93","70.93"
"Hunterdon","West Amwell","15","7","3","5","4","2","1","3","4","0","1","3","79","76","94","97","-","1,189","1,230","1,336","1,563","-","400,569","394,584","384,300","392,104","405,732","1,157","1,157","1,157","1,157","1,157","1,102","1,102","1,102","1,102","1,102","95.25","95.25","95.25","95.25","95.25","954","954","954","954","954","86.57","86.57","86.57","86.57","86.57"
"Hunterdon","Readington","16","7","59","54","28","31","38","19","33","0","13","17","620","610","524","502","-","1,566","1,599","1,542","1,679","-","406,768","423,794","442,089","440,937","439,607","6,191","6,191","6,191","6,191","6,191","5,971","5,971","5,971","5,971","5,971","96.45","96.45","96.45","96.45","96.45","5,353","5,353","5,353","5,353","5,353","89.65","89.65","89.65","89.65","89.65"
"Hunterdon","Tewksbury","23","7","6","3","0","2","1","3","8","0","1","1","134","90","70","54","-","1,116","-","575","575","-","647,101","650,030","660,089","658,237","669,667","2,323","2,323","2,323","2,323","2,323","2,189","2,189","2,189","2,189","2,189","94.23","94.23","94.23","94.23","94.23","2,001","2,001","2,001","2,001","2,001","91.41","91.41","91.41","91.41","91.41"
"Hunterdon","Hampton Boro","23","7","1","0","2","0","3","1","1","0","2","0","146","151","182","191","-","1,054","1,046","800","817","-","250,969","235,914","234,941","241,465","246,294","612","612","612","612","612","570","570","570","570","570","93.14","93.14","93.14","93.14","93.14","391","391","391","391","391","68.6","68.6","68.6","68.6","68.6"
"Hunterdon","High Bridge","23","7","7","12","8","3","0","0","0","1","9","2","195","283","314","253","-","1,409","1,413","1,341","1,436","-","249,110","248,307","246,895","248,426","257,737","1,481","1,481","1,481","1,481","1,481","1,418","1,418","1,418","1,418","1,418","95.75","95.75","95.75","95.75","95.75","1,187","1,187","1,187","1,187","1,187","83.71","83.71","83.71","83.71","83.71"
"Hunterdon","Frenchtown","23","7","4","3","0","6","0","0","3","0","2","1","201","236","259","282","-","1,193","1,162","1,151","1,222","-","286,320","300,947","283,974","302,328","296,166","656","656","656","656","656","596","596","596","596","596","90.85","90.85","90.85","90.85","90.85","348","348","348","348","348","58.39","58.39","58.39","58.39","58.39"
"Camden","Tavistock","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","1,528,333","1,691,249","1,705,672","1,712,806","1,716,396","3","3","3","3","3","3","3","3","3","3","100","100","100","100","100","2","2","2","2","2","66.67","66.67","66.67","66.67","66.67"
"Camden","Winslow","4","1","0","0","0","0","0","2","0","0","0","0","2,837","2,780","2,893","2,961","-","1,229","1,234","1,211","1,200","-","175,386","175,202","173,144","174,701","179,020","14,560","14,560","14,560","14,560","14,560","13,735","13,735","13,735","13,735","13,735","94.33","94.33","94.33","94.33","94.33","11,190","11,190","11,190","11,190","11,190","81.47","81.47","81.47","81.47","81.47"
"Camden","Pine Hill","8","1","10","3","0","1","1","23","11","0","1","0","1,390","1,472","1,581","1,595","-","966","966","969","989","-","135,067","133,111","135,428","126,705","122,954","4,357","4,357","4,357","4,357","4,357","4,086","4,086","4,086","4,086","4,086","93.78","93.78","93.78","93.78","93.78","2,576","2,576","2,576","2,576","2,576","63.04","63.04","63.04","63.04","63.04"
"Camden","Somerdale","6","1","43","26","6","6","2","38","40","0","6","7","590","599","607","642","-","893","893","888","910","-","141,406","140,843","142,227","145,268","146,282","2,158","2,158","2,158","2,158","2,158","2,026","2,026","2,026","2,026","2,026","93.88","93.88","93.88","93.88","93.88","1,492","1,492","1,492","1,492","1,492","73.64","73.64","73.64","73.64","73.64"
"Cape May","Stone Harbor","1","2","36","26","45","45","62","44","32","3","51","58","57","55","41","34","-","1,159","1,206","1,316","1,329","-","1,297,496","1,336,920","1,397,268","1,456,578","1,547,439","3,247","3,247","3,247","3,247","3,247","441","441","441","441","441","13.58","13.58","13.58","13.58","13.58","368","368","368","368","368","83.45","83.45","83.45","83.45","83.45"
"Cape May","Lower Township","1","2","28","19","20","24","26","20","23","0","16","40","1,997","1,827","1,597","1,631","-","1,110","1,096","1,081","1,200","-","235,241","238,995","239,982","246,930","256,529","14,507","14,507","14,507","14,507","14,507","9,579","9,579","9,579","9,579","9,579","66.03","66.03","66.03","66.03","66.03","7,579","7,579","7,579","7,579","7,579","79.12","79.12","79.12","79.12","79.12"
"Cape May","Ocean City","1","2","273","244","201","224","203","271","241","1","112","171","1,855","1,950","1,771","1,483","-","1,076","1,021","1,082","1,135","-","603,281","606,268","621,698","629,778","642,776","20,871","20,871","20,871","20,871","20,871","5,890","5,890","5,890","5,890","5,890","28.22","28.22","28.22","28.22","28.22","3,642","3,642","3,642","3,642","3,642","61.83","61.83","61.83","61.83","61.83"
"Cumberland","Hopewell","1","2","1","3","1","1","0","0","2","0","1","0","180","188","199","233","-","870","871","861","952","-","152,036","153,712","162,241","169,573","172,087","1,741","1,741","1,741","1,741","1,741","1,662","1,662","1,662","1,662","1,662","95.46","95.46","95.46","95.46","95.46","1,376","1,376","1,376","1,376","1,376","82.79","82.79","82.79","82.79","82.79"
"Cumberland","Commercial","1","2","2","3","3","1","4","0","1","0","0","1","478","594","643","604","-","1,079","1,106","1,152","1,171","-","91,025","88,146","92,170","96,066","89,332","2,115","2,115","2,115","2,115","2,115","1,880","1,880","1,880","1,880","1,880","88.89","88.89","88.89","88.89","88.89","1,376","1,376","1,376","1,376","1,376","73.19","73.19","73.19","73.19","73.19"
"Cape May","Wildwood Crest","1","2","0","3","1","1","0","0","0","2","1","1","293","280","270","291","-","930","1,050","1,000","1,024","-","361,192","358,555","361,490","365,647","375,094","5,569","5,569","5,569","5,569","5,569","1,532","1,532","1,532","1,532","1,532","27.51","27.51","27.51","27.51","27.51","1,011","1,011","1,011","1,011","1,011","65.99","65.99","65.99","65.99","65.99"
"Cape May","West Cape May","1","2","10","18","12","21","15","5","8","0","14","11","87","106","92","92","-","997","1,091","1,050","1,053","-","410,919","420,167","451,789","456,262","487,962","1,043","1,043","1,043","1,043","1,043","493","493","493","493","493","47.27","47.27","47.27","47.27","47.27","390","390","390","390","390","79.11","79.11","79.11","79.11","79.11"
"Burlington","Springfield","8","3","0","4","0","1","1","0","2","1","0","0","63","54","68","75","-","1,158","1,200","1,038","869","-","279,309","286,953","300,458","303,563","300,908","1,217","1,217","1,217","1,217","1,217","1,162","1,162","1,162","1,162","1,162","95.48","95.48","95.48","95.48","95.48","1,062","1,062","1,062","1,062","1,062","91.39","91.39","91.39","91.39","91.39"
"Burlington","Westampton","8","3","48","2","0","75","1","0","0","0","0","0","342","320","287","254","-","1,854","1,828","1,878","1,769","-","227,342","241,699","255,453","249,613","250,130","3,291","3,291","3,291","3,291","3,291","3,195","3,195","3,195","3,195","3,195","97.08","97.08","97.08","97.08","97.08","2,945","2,945","2,945","2,945","2,945","92.18","92.18","92.18","92.18","92.18"
"Burlington","Woodland","8","3","0","1","0","0","0","0","1","0","1","0","71","74","63","49","-","1,261","1,283","1,156","1,538","-","227,439","231,788","245,629","243,682","237,717","494","494","494","494","494","476","476","476","476","476","96.36","96.36","96.36","96.36","96.36","418","418","418","418","418","87.82","87.82","87.82","87.82","87.82"
"Camden","Berlin","8","1","0","4","3","1","0","0","3","0","1","1","508","473","418","426","-","948","942","982","1,163","-","231,057","229,634","232,350","231,737","236,645","2,949","2,949","2,949","2,949","2,949","2,806","2,806","2,806","2,806","2,806","95.15","95.15","95.15","95.15","95.15","2,272","2,272","2,272","2,272","2,272","80.97","80.97","80.97","80.97","80.97"
"Camden","Brooklawn","5","1","0","0","0","0","0","0","0","0","0","0","140","151","144","163","-","1,192","1,158","1,191","1,222","-","116,005","112,520","112,189","122,117","118,506","806","806","806","806","806","759","759","759","759","759","94.17","94.17","94.17","94.17","94.17","585","585","585","585","585","77.08","77.08","77.08","77.08","77.08"
"Camden","Chesilhurst","4","1","2","1","0","0","1","2","1","0","0","0","86","108","126","138","-","1,262","1,000","1,070","1,000","-","163,131","154,993","156,700","155,857","154,088","621","621","621","621","621","582","582","582","582","582","93.72","93.72","93.72","93.72","93.72","469","469","469","469","469","80.58","80.58","80.58","80.58","80.58"
"Camden","Gibbsboro","6","1","0","0","1","0","90","0","0","0","0","0","60","52","52","47","-","1,417","1,559","1,615","1,841","-","211,859","213,916","202,517","207,452","208,702","809","809","809","809","809","786","786","786","786","786","97.16","97.16","97.16","97.16","97.16","726","726","726","726","726","92.37","92.37","92.37","92.37","92.37"
"Camden","Gloucester Twp","4","1","0","0","0","69","16","0","0","0","0","69","5,866","5,849","1,261","6,119","-","1,148","1,132","1,147","1,136","-","177,676","183,809","183,621","187,420","193,043","24,711","24,711","24,711","24,711","24,711","23,566","23,566","23,566","23,566","23,566","95.37","95.37","95.37","95.37","95.37","17,807","17,807","17,807","17,807","17,807","75.56","75.56","75.56","75.56","75.56"
"Camden","Haddonfield","6","1","13","11","13","15","17","8","10","1","14","9","666","645","633","602","-","1,206","1,327","1,365","1,274","-","469,780","488,174","493,964","500,839","506,467","4,634","4,634","4,634","4,634","4,634","4,436","4,436","4,436","4,436","4,436","95.73","95.73","95.73","95.73","95.73","3,654","3,654","3,654","3,654","3,654","82.37","82.37","82.37","82.37","82.37"
"Camden","Oaklyn","6","1","0","0","0","0","0","0","0","0","0","0","507","533","505","518","-","821","848","866","881","-","181,101","179,331","173,636","176,034","180,302","1,847","1,847","1,847","1,847","1,847","1,725","1,725","1,725","1,725","1,725","93.39","93.39","93.39","93.39","93.39","1,208","1,208","1,208","1,208","1,208","70.03","70.03","70.03","70.03","70.03"
"Camden","Magnolia","5","1","0","0","0","0","0","0","0","0","1","0","478","492","514","581","-","954","927","939","930","-","141,199","145,805","147,460","151,830","153,073","1,850","1,850","1,850","1,850","1,850","1,710","1,710","1,710","1,710","1,710","92.43","92.43","92.43","92.43","92.43","1,256","1,256","1,256","1,256","1,256","73.45","73.45","73.45","73.45","73.45"
"Burlington","Riverton","7","3","2","0","0","1","1","0","0","0","0","1","229","208","194","154","-","1,006","1,071","1,037","1,125","-","259,837","267,753","279,221","285,634","284,738","1,112","1,112","1,112","1,112","1,112","1,057","1,057","1,057","1,057","1,057","95.05","95.05","95.05","95.05","95.05","827","827","827","827","827","78.24","78.24","78.24","78.24","78.24"
"Burlington","Pemberton","8","3","0","0","1","0","0","0","0","0","0","0","197","195","211","181","-","961","977","1,048","1,117","-","202,384","199,737","198,931","191,656","194,960","642","642","642","642","642","581","581","581","581","581","90.5","90.5","90.5","90.5","90.5","387","387","387","387","387","66.61","66.61","66.61","66.61","66.61"
"Burlington","Riverside","7","3","0","0","0","1","1","1","0","0","0","0","940","947","986","1,017","-","1,125","1,136","1,218","1,198","-","145,648","145,865","149,053","158,658","153,340","3,147","3,147","3,147","3,147","3,147","2,959","2,959","2,959","2,959","2,959","94.03","94.03","94.03","94.03","94.03","1,941","1,941","1,941","1,941","1,941","65.6","65.6","65.6","65.6","65.6"
"Burlington","North Hanover","12","3","0","2","4","3","4","1","1","0","3","1","1,356","1,450","1,534","1,592","-","1,755","1,800","1,809","1,849","-","293,298","301,002","301,806","305,148","308,957","3,370","3,370","3,370","3,370","3,370","2,784","2,784","2,784","2,784","2,784","82.61","82.61","82.61","82.61","82.61","1,430","1,430","1,430","1,430","1,430","51.36","51.36","51.36","51.36","51.36"
"Burlington","Palmyra","7","1","0","0","0","0","0","0","0","0","0","0","641","794","852","869","-","1,157","1,181","1,226","1,288","-","167,377","159,607","156,781","157,596","158,680","3,392","3,392","3,392","3,392","3,392","3,156","3,156","3,156","3,156","3,156","93.04","93.04","93.04","93.04","93.04","2,342","2,342","2,342","2,342","2,342","74.21","74.21","74.21","74.21","74.21"
"Burlington","Mount Laurel","7","3","11","21","63","2","250","65","29","3","11","62","2,939","3,159","3,202","3,389","-","1,423","1,445","1,463","1,482","-","251,648","258,770","257,734","263,705","260,192","18,249","18,249","18,249","18,249","18,249","17,538","17,538","17,538","17,538","17,538","96.1","96.1","96.1","96.1","96.1","14,662","14,662","14,662","14,662","14,662","83.6","83.6","83.6","83.6","83.6"
"Burlington","New Hanover","12","3","2","7","10","2","1","3","3","0","9","1","353","344","419","335","-","2,100","2,147","2,132","2,182","-","232,134","238,588","250,912","255,264","241,374","613","613","613","613","613","551","551","551","551","551","89.89","89.89","89.89","89.89","89.89","219","219","219","219","219","39.75","39.75","39.75","39.75","39.75"
"Burlington","Medford","8","3","92","88","67","65","52","67","73","9","59","51","1,197","1,313","1,176","1,143","-","1,390","1,337","1,327","1,313","-","345,372","358,635","358,443","359,077","358,518","8,652","8,652","8,652","8,652","8,652","8,277","8,277","8,277","8,277","8,277","95.67","95.67","95.67","95.67","95.67","7,091","7,091","7,091","7,091","7,091","85.67","85.67","85.67","85.67","85.67"
"Burlington","Mount Holly","8","3","212","30","19","0","0","69","99","0","49","0","1,137","1,229","1,165","1,245","-","1,108","1,085","1,084","1,118","-","158,954","159,182","159,819","162,099","165,459","3,861","3,861","3,861","3,861","3,861","3,456","3,456","3,456","3,456","3,456","89.51","89.51","89.51","89.51","89.51","2,317","2,317","2,317","2,317","2,317","67.04","67.04","67.04","67.04","67.04"
"Burlington","Southampton","8","3","1","2","2","0","1","2","3","0","0","1","230","266","223","214","-","1,147","1,174","1,219","1,196","-","203,142","205,009","208,511","211,898","217,192","5,024","5,024","5,024","5,024","5,024","4,746","4,746","4,746","4,746","4,746","94.47","94.47","94.47","94.47","94.47","4,361","4,361","4,361","4,361","4,361","91.89","91.89","91.89","91.89","91.89"
"Burlington","Shamong","8","3","0","7","0","0","0","2","4","1","0","0","75","116","136","112","-","1,482","959","1,364","983","-","328,161","322,051","324,599","323,939","328,895","2,227","2,227","2,227","2,227","2,227","2,168","2,168","2,168","2,168","2,168","97.35","97.35","97.35","97.35","97.35","2,077","2,077","2,077","2,077","2,077","95.8","95.8","95.8","95.8","95.8"
"Burlington","Medford Lakes","8","3","2","3","6","1","3","0","3","0","8","1","123","116","97","114","-","1,961","1,953","1,819","1,890","-","289,704","286,020","288,191","299,877","304,796","1,543","1,543","1,543","1,543","1,543","1,483","1,483","1,483","1,483","1,483","96.11","96.11","96.11","96.11","96.11","1,398","1,398","1,398","1,398","1,398","94.27","94.27","94.27","94.27","94.27"
"Hunterdon","Union Twp","23","7","5","2","0","2","1","1","4","0","2","1","166","168","181","219","-","1,434","1,508","1,447","1,459","-","350,967","352,402","352,513","355,289","373,140","1,830","1,830","1,830","1,830","1,830","1,752","1,752","1,752","1,752","1,752","95.74","95.74","95.74","95.74","95.74","1,573","1,573","1,573","1,573","1,573","89.78","89.78","89.78","89.78","89.78"
"Hunterdon","Stockton","16","7","0","0","0","0","1","0","0","0","0","0","56","81","74","77","-","1,588","1,484","1,477","1,573","-","365,127","372,324","373,717","353,847","356,015","259","259","259","259","259","237","237","237","237","237","91.51","91.51","91.51","91.51","91.51","177","177","177","177","177","74.68","74.68","74.68","74.68","74.68"
"Hunterdon","Lambertville","15","7","2","5","3","6","6","3","4","0","4","4","643","707","657","833","-","1,212","1,211","1,209","1,218","-","353,776","367,007","382,841","385,675","380,232","2,075","2,075","2,075","2,075","2,075","1,958","1,958","1,958","1,958","1,958","94.36","94.36","94.36","94.36","94.36","1,208","1,208","1,208","1,208","1,208","61.7","61.7","61.7","61.7","61.7"
"Mercer","Lawrence","15","12","8","2","104","4","39","2","1","0","0","2","3,672","3,835","3,797","3,833","-","1,403","1,406","1,493","1,538","-","298,255","310,256","311,848","302,221","305,501","13,239","13,239","13,239","13,239","13,239","12,524","12,524","12,524","12,524","12,524","94.6","94.6","94.6","94.6","94.6","8,592","8,592","8,592","8,592","8,592","68.6","68.6","68.6","68.6","68.6"
"Mercer","Trenton","15","12","1","0","298","0","1","136","0","0","139","0","16,924","16,978","16,946","16,641","-","991","956","964","995","-","74,974","72,191","74,165","63,259","66,235","33,035","33,035","33,035","33,035","33,035","28,578","28,578","28,578","28,578","28,578","86.51","86.51","86.51","86.51","86.51","10,953","10,953","10,953","10,953","10,953","38.33","38.33","38.33","38.33","38.33"
"Mercer","Ewing","15","12","4","116","139","12","141","35","29","15","124","76","3,682","3,611","3,780","3,753","-","1,182","1,174","1,180","1,196","-","183,185","180,116","182,078","175,318","181,558","13,926","13,926","13,926","13,926","13,926","13,171","13,171","13,171","13,171","13,171","94.58","94.58","94.58","94.58","94.58","9,161","9,161","9,161","9,161","9,161","69.55","69.55","69.55","69.55","69.55"
"Mercer","Hightstown","14","12","0","0","1","3","1","1","1","0","1","3","730","757","677","762","-","1,127","1,305","1,328","1,227","-","225,435","224,664","222,831","220,084","237,222","2,108","2,108","2,108","2,108","2,108","1,976","1,976","1,976","1,976","1,976","93.74","93.74","93.74","93.74","93.74","1,263","1,263","1,263","1,263","1,263","63.92","63.92","63.92","63.92","63.92"
"Middlesex","Highland Park","18","6","26","56","54","146","5","0","20","1","4","2","3,249","3,300","3,307","3,172","-","1,268","1,287","1,315","1,376","-","325,453","327,869","318,401","341,182","351,008","6,203","6,203","6,203","6,203","6,203","5,875","5,875","5,875","5,875","5,875","94.71","94.71","94.71","94.71","94.71","2,419","2,419","2,419","2,419","2,419","41.17","41.17","41.17","41.17","41.17"
"Middlesex","Middlesex Borough","22","12","1","5","39","4","6","2","2","0","4","135","1,028","1,102","1,073","1,176","-","1,283","1,314","1,295","1,385","-","262,498","264,354","273,367","278,609","293,429","5,148","5,148","5,148","5,148","5,148","4,984","4,984","4,984","4,984","4,984","96.81","96.81","96.81","96.81","96.81","3,730","3,730","3,730","3,730","3,730","74.84","74.84","74.84","74.84","74.84"
"Middlesex","Carteret","19","6","0","0","0","60","0","0","0","0","0","0","3,089","3,292","3,333","3,236","-","1,289","1,289","1,305","1,443","-","237,956","233,781","267,641","224,823","250,419","8,148","8,148","8,148","8,148","8,148","7,591","7,591","7,591","7,591","7,591","93.16","93.16","93.16","93.16","93.16","4,599","4,599","4,599","4,599","4,599","60.58","60.58","60.58","60.58","60.58"
"Middlesex","East Brunswick","18","12","447","15","10","26","36","11","66","1","15","35","2,549","2,785","2,880","3,086","-","1,388","1,316","1,386","1,429","-","352,841","351,152","356,853","369,841","385,269","17,367","17,367","17,367","17,367","17,367","16,810","16,810","16,810","16,810","16,810","96.79","96.79","96.79","96.79","96.79","14,330","14,330","14,330","14,330","14,330","85.25","85.25","85.25","85.25","85.25"
"Hudson","Bayonne","31","8, 10","34","64","29","746","805","213","37","4","64","154","15,356","15,537","15,495","15,256","-","1,133","1,137","1,158","1,187","-","301,809","299,163","309,982","334,284","361,174","27,799","27,799","27,799","27,799","27,799","25,237","25,237","25,237","25,237","25,237","90.78","90.78","90.78","90.78","90.78","9,791","9,791","9,791","9,791","9,791","38.8","38.8","38.8","38.8","38.8"
"Gloucester","Woodbury Heights","3","1","0","0","0","0","1","2","0","0","0","1","67","77","72","121","-","1,375","1,274","1,139","1,222","-","182,284","184,804","184,703","185,823","188,637","1,125","1,125","1,125","1,125","1,125","1,081","1,081","1,081","1,081","1,081","96.09","96.09","96.09","96.09","96.09","985","985","985","985","985","91.12","91.12","91.12","91.12","91.12"
"Hudson","Jersey City","31, 33","8, 10","3,747","2,649","3,174","3,656","3,848","190","950","24","2,909","648","66,451","69,055","70,563","70,407","-","1,187","1,198","1,233","1,271","-","304,659","327,628","381,915","415,808","428,945","108,720","108,720","108,720","108,720","108,720","96,859","96,859","96,859","96,859","96,859","89.09","89.09","89.09","89.09","89.09","28,597","28,597","28,597","28,597","28,597","29.52","29.52","29.52","29.52","29.52"
"Hudson","Harrison","32","8","466","310","456","1,069","45","162","32","4","28","309","3,583","3,615","3,843","3,982","-","1,195","1,213","1,273","1,337","-","331,225","372,900","393,239","406,332","458,301","5,228","5,228","5,228","5,228","5,228","4,869","4,869","4,869","4,869","4,869","93.13","93.13","93.13","93.13","93.13","1,484","1,484","1,484","1,484","1,484","30.48","30.48","30.48","30.48","30.48"
"Hudson","Secaucus","32","9","327","72","636","16","6","284","38","0","12","641","2,565","2,715","2,911","2,894","-","1,502","1,599","1,614","1,593","-","290,430","293,145","314,477","303,341","334,565","6,846","6,846","6,846","6,846","6,846","6,297","6,297","6,297","6,297","6,297","91.98","91.98","91.98","91.98","91.98","3,801","3,801","3,801","3,801","3,801","60.36","60.36","60.36","60.36","60.36"
"Hunterdon","Bethlehem","23","7","2","0","0","0","0","1","2","0","2","0","91","111","121","99","-","1,125","1,420","1,840","1,969","-","375,783","377,539","372,221","377,271","378,115","1,386","1,386","1,386","1,386","1,386","1,344","1,344","1,344","1,344","1,344","96.97","96.97","96.97","96.97","96.97","1,280","1,280","1,280","1,280","1,280","95.24","95.24","95.24","95.24","95.24"
"Hunterdon","Clinton","23","7","62","0","35","3","0","0","2","0","0","4","272","293","312","276","-","1,173","1,164","1,196","1,250","-","333,262","332,968","339,195","333,218","338,615","1,098","1,098","1,098","1,098","1,098","1,057","1,057","1,057","1,057","1,057","96.27","96.27","96.27","96.27","96.27","794","794","794","794","794","75.12","75.12","75.12","75.12","75.12"
"Hunterdon","Delaware","16","7","2","1","5","3","4","2","1","0","4","1","204","178","250","258","-","1,667","1,206","1,177","1,235","-","435,489","455,454","436,336","431,240","424,539","1,927","1,927","1,927","1,927","1,927","1,788","1,788","1,788","1,788","1,788","92.79","92.79","92.79","92.79","92.79","1,551","1,551","1,551","1,551","1,551","86.74","86.74","86.74","86.74","86.74"
"Hunterdon","Franklin Twp","23","7","6","3","3","2","3","2","5","1","3","2","118","91","92","67","-","1,333","1,097","1,307","1,220","-","435,287","434,766","431,771","448,137","441,600","1,204","1,204","1,204","1,204","1,204","1,137","1,137","1,137","1,137","1,137","94.44","94.44","94.44","94.44","94.44","1,019","1,019","1,019","1,019","1,019","89.62","89.62","89.62","89.62","89.62"
"Hunterdon","Glen Gardner","23","7","1","0","0","0","0","1","0","0","0","0","220","238","258","244","-","1,160","1,156","1,178","1,276","-","204,101","202,792","204,019","209,533","213,752","825","825","825","825","825","768","768","768","768","768","93.09","93.09","93.09","93.09","93.09","569","569","569","569","569","74.09","74.09","74.09","74.09","74.09"
"Hunterdon","Holland","23","7","3","3","2","0","2","1","1","0","1","3","138","106","116","107","-","1,173","1,281","1,230","1,188","-","295,765","295,274","297,086","301,022","305,014","2,066","2,066","2,066","2,066","2,066","1,972","1,972","1,972","1,972","1,972","95.45","95.45","95.45","95.45","95.45","1,817","1,817","1,817","1,817","1,817","92.14","92.14","92.14","92.14","92.14"
"Gloucester","Paulsboro","3","1","0","1","2","8","2","0","0","0","8","0","827","846","815","733","-","889","994","960","1,009","-","109,893","106,620","107,986","107,443","101,464","2,533","2,533","2,533","2,533","2,533","2,286","2,286","2,286","2,286","2,286","90.25","90.25","90.25","90.25","90.25","1,347","1,347","1,347","1,347","1,347","58.92","58.92","58.92","58.92","58.92"
"Gloucester","Newfield","3","2","0","0","0","0","0","0","1","0","0","0","115","134","146","138","-","1,028","1,111","1,112","1,171","-","163,861","164,112","164,688","172,327","180,041","626","626","626","626","626","579","579","579","579","579","92.49","92.49","92.49","92.49","92.49","475","475","475","475","475","82.04","82.04","82.04","82.04","82.04"
"Gloucester","National Park","3","1","0","0","0","0","0","1","0","0","0","0","134","193","176","168","-","1,197","1,032","1,183","1,025","-","136,245","129,664","134,859","137,685","137,845","1,153","1,153","1,153","1,153","1,153","1,092","1,092","1,092","1,092","1,092","94.71","94.71","94.71","94.71","94.71","908","908","908","908","908","83.15","83.15","83.15","83.15","83.15"
"Gloucester","Monroe","4","1","37","28","125","46","56","87","34","5","65","31","2,170","2,144","2,174","2,132","-","965","1,020","1,044","1,055","-","191,775","198,285","198,403","199,912","204,014","13,387","13,387","13,387","13,387","13,387","12,815","12,815","12,815","12,815","12,815","95.73","95.73","95.73","95.73","95.73","10,678","10,678","10,678","10,678","10,678","83.32","83.32","83.32","83.32","83.32"
"Gloucester","Logan","3","1","0","0","0","0","0","0","0","0","0","0","72","83","102","121","-","1,172","1,188","1,310","1,293","-","206,400","203,509","212,530","215,511","223,306","2,172","2,172","2,172","2,172","2,172","2,087","2,087","2,087","2,087","2,087","96.09","96.09","96.09","96.09","96.09","1,935","1,935","1,935","1,935","1,935","92.72","92.72","92.72","92.72","92.72"
"Gloucester","West Deptford","3","1","13","6","3","3","16","12","9","0","3","6","2,601","2,562","2,517","2,449","-","1,081","1,080","1,098","1,115","-","201,246","203,553","201,295","204,718","204,441","9,441","9,441","9,441","9,441","9,441","8,829","8,829","8,829","8,829","8,829","93.52","93.52","93.52","93.52","93.52","6,387","6,387","6,387","6,387","6,387","72.34","72.34","72.34","72.34","72.34"
"Gloucester","Westville","5","1","0","0","0","0","0","0","0","0","0","0","462","468","552","551","-","797","889","895","881","-","131,440","131,320","131,387","135,204","132,745","1,912","1,912","1,912","1,912","1,912","1,755","1,755","1,755","1,755","1,755","91.79","91.79","91.79","91.79","91.79","1,137","1,137","1,137","1,137","1,137","64.79","64.79","64.79","64.79","64.79"
"Gloucester","Washington Twp","4","1","0","0","0","308","47","0","0","-","0","113","2,815","2,831","2,863","2,769","-","1,138","1,163","1,174","1,208","-","220,500","221,936","224,514","227,436","229,572","17,810","17,810","17,810","17,810","17,810","17,287","17,287","17,287","17,287","17,287","97.06","97.06","97.06","97.06","97.06","14,470","14,470","14,470","14,470","14,470","83.7","83.7","83.7","83.7","83.7"
