"","","","","Census Population","Census Population","Census Population","Census Population","Census Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","Estimated Population","% Change","% Change","% Change","% Change","% Change","Population 25+","Population 25+","Population 25+","Population 25+","Population 25+","College Grads","College Grads","College Grads","College Grads","College Grads","% College Grads","% College Grads","% College Grads","% College Grads","% College Grads","Foreign Born","Foreign Born","Foreign Born","Foreign Born","Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","% Foreign Born","African American","African American","African American","African American","African American","% African American","% African American","% African American","% African American","% African American","Asian","Asian","Asian","Asian","Asian","% Asian","% Asian","% Asian","% Asian","% Asian","Hispanic","Hispanic","Hispanic","Hispanic","Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","% Hispanic","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","# Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","% Age 0-5","Age 65+","Age 65+","Age 65+","Age 65+","Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+","% Age 65+"
"Monmouth","Long Branch","11","6","30,719","30,719","30,719","30,719","30,719","30,522","30,941","30,763","30,762","30,406","-0.64","0.72","0.14","0.14","-1.02","20,615","20,498","21,147","21,249","-","5,842","5,826","3,641","6,228","-","28.34","28.42","17.22","29.31","-","9,219","8,955","9,652","9,414","-","30.14","29.15","31.43","30.61","-","4,364","4,364","4,364","4,364","4,364","14.21","14.21","14.21","14.21","14.21","655","655","655","655","655","2.13","2.13","2.13","2.13","2.13","8,624","8,624","8,624","8,624","8,624","28.07","28.07","28.07","28.07","28.07","2,214","2,214","2,214","2,214","2,214","7.21","7.21","7.21","7.21","7.21","3,472","3,472","3,472","3,472","3,472","11.3","11.3","11.3","11.3","11.3"
"Monmouth","Manasquan","30","4","5,897","5,897","5,897","5,897","5,897","5,764","5,815","5,818","5,903","5,846","-2.26","-1.39","-1.34","0.1","-0.86","4,250","4,306","4,216","4,216","-","2,313","2,352","1,399","2,441","-","54.42","54.62","33.18","57.9","-","116","498","543","608","-","1.99","8.54","9.34","10.44","-","18","18","18","18","18","0.31","0.31","0.31","0.31","0.31","36","36","36","36","36","0.61","0.61","0.61","0.61","0.61","414","414","414","414","414","7.02","7.02","7.02","7.02","7.02","278","278","278","278","278","4.71","4.71","4.71","4.71","4.71","964","964","964","964","964","16.35","16.35","16.35","16.35","16.35"
"Atlantic","Hamilton","2","2","26,503","26,503","26,503","26,503","26,503","26,647","26,787","26,499","26,408","25,768","0.54","1.07","-0.02","-0.36","-2.77","18,136","18,654","18,883","18,281","-","4,492","4,874","3,434","4,982","-","24.77","26.13","18.19","27.25","-","4,125","3,425","3,568","2,979","-","15.46","12.75","13.33","11.17","-","4,916","4,916","4,916","4,916","4,916","18.55","18.55","18.55","18.55","18.55","1,435","1,435","1,435","1,435","1,435","5.41","5.41","5.41","5.41","5.41","3,390","3,390","3,390","3,390","3,390","12.79","12.79","12.79","12.79","12.79","1,605","1,605","1,605","1,605","1,605","6.06","6.06","6.06","6.06","6.06","2,788","2,788","2,788","2,788","2,788","10.52","10.52","10.52","10.52","10.52"
"Atlantic","Longport","2","2","895","895","895","895","895","880","886","872","876","858","-1.68","-1.01","-2.57","-2.12","-4.13","853","879","870","816","-","377","404","239","419","-","44.2","45.96","27.47","51.35","-","24","36","31","35","-","2.53","3.6","3.08","3.65","-","3","3","3","3","3","0.34","0.34","0.34","0.34","0.34","4","4","4","4","4","0.45","0.45","0.45","0.45","0.45","10","10","10","10","10","1.12","1.12","1.12","1.12","1.12","12","12","12","12","12","1.34","1.34","1.34","1.34","1.34","337","337","337","337","337","37.65","37.65","37.65","37.65","37.65"
"Atlantic","Somers Point","2","2","10,795","10,795","10,795","10,795","10,795","10,756","10,688","10,545","10,480","10,285","-0.36","-0.99","-2.32","-2.92","-4.72","7,442","7,409","7,411","7,325","-","1,710","1,730","1,255","1,833","-","22.98","23.35","16.93","25.02","-","1,083","1,175","1,093","1,181","-","10.04","10.9","10.23","11.1","-","1,153","1,153","1,153","1,153","1,153","10.68","10.68","10.68","10.68","10.68","332","332","332","332","332","3.08","3.08","3.08","3.08","3.08","1,024","1,024","1,024","1,024","1,024","9.49","9.49","9.49","9.49","9.49","644","644","644","644","644","5.97","5.97","5.97","5.97","5.97","1,577","1,577","1,577","1,577","1,577","14.61","14.61","14.61","14.61","14.61"
"Monmouth","Sea Girt","30","4","1,828","1,828","1,828","1,828","1,828","1,814","1,811","1,785","1,774","1,771","-0.77","-0.93","-2.35","-2.95","-3.12","1,375","1,318","1,376","1,379","-","905","865","498","962","-","65.82","65.63","36.19","69.76","-","27","34","36","33","-","1.46","2.02","2.12","1.93","-","0","0","0","0","0","0","0","0","0","0","4","4","4","4","4","0.22","0.22","0.22","0.22","0.22","30","30","30","30","30","1.64","1.64","1.64","1.64","1.64","67","67","67","67","67","3.67","3.67","3.67","3.67","3.67","546","546","546","546","546","29.87","29.87","29.87","29.87","29.87"
"Bergen","Allendale","40","5","6,505","6,505","6,505","6,505","6,505","6,789","6,822","6,853","6,906","6,792","4.37","4.87","5.35","6.16","4.41","4,328","4,367","4,446","4,477","-","2,814","2,886","1,858","3,223","-","65.02","66.09","41.79","71.99","-","973","964","841","832","-","14.6","14.35","12.43","12.2","-","33","33","33","33","33","0.51","0.51","0.51","0.51","0.51","627","627","627","627","627","9.64","9.64","9.64","9.64","9.64","304","304","304","304","304","4.67","4.67","4.67","4.67","4.67","337","337","337","337","337","5.18","5.18","5.18","5.18","5.18","945","945","945","945","945","14.53","14.53","14.53","14.53","14.53"
"Bergen","Bogota","37","5","8,187","8,187","8,187","8,187","8,187","8,332","8,400","8,507","8,567","8,413","1.77","2.6","3.91","4.64","2.76","5,425","5,631","5,676","5,745","-","1,477","1,812","1,234","1,657","-","27.23","32.18","21.74","28.84","-","2,812","2,569","2,606","2,551","-","33.97","30.84","31.22","30.24","-","771","771","771","771","771","9.42","9.42","9.42","9.42","9.42","803","803","803","803","803","9.81","9.81","9.81","9.81","9.81","3,169","3,169","3,169","3,169","3,169","38.71","38.71","38.71","38.71","38.71","471","471","471","471","471","5.75","5.75","5.75","5.75","5.75","954","954","954","954","954","11.65","11.65","11.65","11.65","11.65"
"Bergen","Cliffside Park","36","9","23,594","23,594","23,594","23,594","23,594","25,503","24,857","24,856","25,142","25,935","8.09","5.35","5.35","6.56","9.92","18,869","18,932","19,307","19,383","-","7,750","7,668","5,004","8,316","-","41.07","40.5","25.92","42.9","-","10,255","10,770","11,334","11,818","-","41.8","43.97","45.96","47.54","-","776","776","776","776","776","3.29","3.29","3.29","3.29","3.29","3,252","3,252","3,252","3,252","3,252","13.78","13.78","13.78","13.78","13.78","6,704","6,704","6,704","6,704","6,704","28.41","28.41","28.41","28.41","28.41","1,409","1,409","1,409","1,409","1,409","5.97","5.97","5.97","5.97","5.97","4,132","4,132","4,132","4,132","4,132","17.51","17.51","17.51","17.51","17.51"
"Bergen","Demarest","39","5","4,881","4,881","4,881","4,881","4,881","4,973","5,050","5,000","5,032","4,933","1.88","3.46","2.44","3.09","1.07","3,393","3,372","3,261","3,262","-","2,466","2,249","1,152","2,248","-","72.68","66.7","35.33","68.91","-","1,321","1,385","1,270","1,434","-","26.8","27.68","25.36","28.5","-","31","31","31","31","31","0.64","0.64","0.64","0.64","0.64","1,289","1,289","1,289","1,289","1,289","26.41","26.41","26.41","26.41","26.41","216","216","216","216","216","4.43","4.43","4.43","4.43","4.43","211","211","211","211","211","4.32","4.32","4.32","4.32","4.32","704","704","704","704","704","14.42","14.42","14.42","14.42","14.42"
"Bergen","Ho-Ho-Kus","40","5","4,078","4,078","4,078","4,078","4,078","4,171","4,165","4,142","4,183","4,107","2.28","2.13","1.57","2.57","0.71","2,816","2,760","2,704","2,741","-","2,104","2,109","1,326","2,154","-","74.72","76.41","49.04","78.58","-","522","539","531","491","-","12.65","13.04","12.83","11.8","-","9","9","9","9","9","0.22","0.22","0.22","0.22","0.22","236","236","236","236","236","5.79","5.79","5.79","5.79","5.79","168","168","168","168","168","4.12","4.12","4.12","4.12","4.12","251","251","251","251","251","6.15","6.15","6.15","6.15","6.15","651","651","651","651","651","15.96","15.96","15.96","15.96","15.96"
"Bergen","Haworth","39","5","3,382","3,382","3,382","3,382","3,382","3,448","3,470","3,464","3,497","3,430","1.95","2.6","2.42","3.4","1.42","2,246","2,293","2,310","2,347","-","1,576","1,572","828","1,599","-","70.17","68.56","35.84","68.13","-","548","601","592","598","-","16.03","17.42","17.18","17.22","-","39","39","39","39","39","1.15","1.15","1.15","1.15","1.15","402","402","402","402","402","11.89","11.89","11.89","11.89","11.89","148","148","148","148","148","4.38","4.38","4.38","4.38","4.38","165","165","165","165","165","4.88","4.88","4.88","4.88","4.88","516","516","516","516","516","15.26","15.26","15.26","15.26","15.26"
"Bergen","Leonia","37","9","8,937","8,937","8,937","8,937","8,937","9,139","9,219","9,195","9,262","9,110","2.26","3.16","2.89","3.64","1.94","6,393","6,327","6,295","6,318","-","3,814","3,741","2,331","3,682","-","59.66","59.13","37.03","58.28","-","4,248","4,411","4,155","3,940","-","46.93","48.32","45.47","42.87","-","209","209","209","209","209","2.34","2.34","2.34","2.34","2.34","3,139","3,139","3,139","3,139","3,139","35.12","35.12","35.12","35.12","35.12","1,489","1,489","1,489","1,489","1,489","16.66","16.66","16.66","16.66","16.66","404","404","404","404","404","4.52","4.52","4.52","4.52","4.52","1,351","1,351","1,351","1,351","1,351","15.12","15.12","15.12","15.12","15.12"
"Bergen","Lodi","38","5","24,136","24,136","24,136","24,136","24,136","24,654","24,835","24,778","24,961","24,551","2.15","2.9","2.66","3.42","1.72","16,881","16,843","17,017","17,294","-","3,902","4,042","2,957","3,853","-","23.11","24","17.38","22.28","-","8,590","9,076","8,845","9,034","-","35.16","36.91","35.88","36.42","-","1,816","1,816","1,816","1,816","1,816","7.52","7.52","7.52","7.52","7.52","2,069","2,069","2,069","2,069","2,069","8.57","8.57","8.57","8.57","8.57","7,360","7,360","7,360","7,360","7,360","30.49","30.49","30.49","30.49","30.49","1,468","1,468","1,468","1,468","1,468","6.08","6.08","6.08","6.08","6.08","3,162","3,162","3,162","3,162","3,162","13.1","13.1","13.1","13.1","13.1"
"Bergen","Lyndhurst","36","9","20,554","20,554","20,554","20,554","20,554","22,079","22,286","22,239","22,426","22,580","7.42","8.43","8.2","9.11","9.86","15,297","15,498","15,936","16,361","-","4,527","4,849","3,125","5,490","-","29.59","31.29","19.61","33.56","-","5,989","5,767","5,973","6,163","-","28.24","27.05","27.68","28.09","-","406","406","406","406","406","1.98","1.98","1.98","1.98","1.98","1,355","1,355","1,355","1,355","1,355","6.59","6.59","6.59","6.59","6.59","3,769","3,769","3,769","3,769","3,769","18.34","18.34","18.34","18.34","18.34","1,106","1,106","1,106","1,106","1,106","5.38","5.38","5.38","5.38","5.38","3,219","3,219","3,219","3,219","3,219","15.66","15.66","15.66","15.66","15.66"
"Bergen","Maywood","38","5","9,555","9,555","9,555","9,555","9,555","9,746","9,805","9,785","9,860","9,694","2","2.62","2.41","3.19","1.45","6,862","6,976","7,016","7,045","-","2,609","2,547","1,618","2,626","-","38.02","36.51","23.06","37.27","-","2,100","2,416","2,488","2,806","-","21.76","24.92","25.58","28.66","-","510","510","510","510","510","5.34","5.34","5.34","5.34","5.34","1,049","1,049","1,049","1,049","1,049","10.98","10.98","10.98","10.98","10.98","1,785","1,785","1,785","1,785","1,785","18.68","18.68","18.68","18.68","18.68","577","577","577","577","577","6.04","6.04","6.04","6.04","6.04","1,496","1,496","1,496","1,496","1,496","15.66","15.66","15.66","15.66","15.66"
"Bergen","Midland Park","40","5","7,128","7,128","7,128","7,128","7,128","7,305","7,329","7,319","7,384","7,265","2.48","2.82","2.68","3.59","1.92","5,142","5,148","5,293","5,151","-","2,749","2,653","1,725","2,545","-","53.46","51.53","32.59","49.41","-","762","752","601","666","-","10.54","10.35","8.25","9.08","-","60","60","60","60","60","0.84","0.84","0.84","0.84","0.84","192","192","192","192","192","2.69","2.69","2.69","2.69","2.69","474","474","474","474","474","6.65","6.65","6.65","6.65","6.65","401","401","401","401","401","5.63","5.63","5.63","5.63","5.63","1,142","1,142","1,142","1,142","1,142","16.02","16.02","16.02","16.02","16.02"
"Bergen","Moonachie","36","9","2,708","2,708","2,708","2,708","2,708","2,783","2,788","2,790","2,800","2,743","2.77","2.95","3.03","3.4","1.29","2,065","1,965","1,963","1,938","-","384","417","301","394","-","18.6","21.22","15.33","20.33","-","1,032","1,006","1,025","1,078","-","37.65","36.54","37.19","38.74","-","38","38","38","38","38","1.4","1.4","1.4","1.4","1.4","272","272","272","272","272","10.04","10.04","10.04","10.04","10.04","660","660","660","660","660","24.37","24.37","24.37","24.37","24.37","116","116","116","116","116","4.28","4.28","4.28","4.28","4.28","438","438","438","438","438","16.17","16.17","16.17","16.17","16.17"
"Bergen","New Milford","38","5","16,341","16,341","16,341","16,341","16,341","16,678","16,801","16,759","16,868","16,558","2.06","2.82","2.56","3.23","1.33","11,400","11,503","11,631","11,871","-","4,673","4,461","3,169","5,038","-","40.99","38.78","27.25","42.44","-","4,920","5,077","5,099","5,006","-","29.77","30.51","30.57","29.87","-","608","608","608","608","608","3.72","3.72","3.72","3.72","3.72","3,169","3,169","3,169","3,169","3,169","19.39","19.39","19.39","19.39","19.39","2,227","2,227","2,227","2,227","2,227","13.63","13.63","13.63","13.63","13.63","845","845","845","845","845","5.17","5.17","5.17","5.17","5.17","2,578","2,578","2,578","2,578","2,578","15.78","15.78","15.78","15.78","15.78"
"Bergen","Northvale","37","5","4,640","4,640","4,640","4,640","4,640","4,771","4,859","4,933","4,985","4,923","2.82","4.72","6.31","7.44","6.1","3,262","3,360","3,364","3,390","-","1,379","1,590","1,302","1,667","-","42.27","47.32","38.7","49.17","-","1,177","1,314","1,401","1,424","-","24.91","27.59","29.18","29.23","-","49","49","49","49","49","1.06","1.06","1.06","1.06","1.06","1,114","1,114","1,114","1,114","1,114","24.01","24.01","24.01","24.01","24.01","378","378","378","378","378","8.15","8.15","8.15","8.15","8.15","214","214","214","214","214","4.61","4.61","4.61","4.61","4.61","679","679","679","679","679","14.63","14.63","14.63","14.63","14.63"
"Monmouth","West Long Branch","11","6","8,097","8,097","8,097","8,097","8,097","8,352","7,994","7,963","7,972","7,909","3.15","-1.27","-1.65","-1.54","-2.32","4,963","4,642","4,519","4,555","-","2,049","1,833","872","1,846","-","41.29","39.49","19.3","40.53","-","544","542","540","508","-","6.48","6.8","6.8","6.39","-","179","179","179","179","179","2.21","2.21","2.21","2.21","2.21","96","96","96","96","96","1.19","1.19","1.19","1.19","1.19","407","407","407","407","407","5.03","5.03","5.03","5.03","5.03","308","308","308","308","308","3.8","3.8","3.8","3.8","3.8","1,105","1,105","1,105","1,105","1,105","13.65","13.65","13.65","13.65","13.65"
"Morris","Boonton Twp","25","11","4,263","4,263","4,263","4,263","4,263","4,353","4,363","4,362","4,350","4,296","2.11","2.35","2.32","2.04","0.77","3,072","3,074","3,034","2,951","-","1,691","1,629","1,109","1,891","-","55.05","52.99","36.55","64.08","-","435","455","517","514","-","10.05","10.49","11.9","11.81","-","66","66","66","66","66","1.55","1.55","1.55","1.55","1.55","170","170","170","170","170","3.99","3.99","3.99","3.99","3.99","178","178","178","178","178","4.18","4.18","4.18","4.18","4.18","162","162","162","162","162","3.8","3.8","3.8","3.8","3.8","770","770","770","770","770","18.06","18.06","18.06","18.06","18.06"
"Mercer","Princeton (as of 1/1/2013)","16","12","28,572","28,572","28,572","28,572","28,572","30,108","29,603","31,249","31,822","31,386","5.38","3.61","9.37","11.37","9.85","17,132","17,106","17,938","18,396","-","13,860","13,478","4,382","14,642","-","80.9","78.79","24.43","79.59","-","7,293","7,387","7,916","8,021","-","25.2","25.53","26.24","26.11","-","1,603","1,603","1,603","1,603","1,603","5.61","5.61","5.61","5.61","5.61","3,968","3,968","3,968","3,968","3,968","13.89","13.89","13.89","13.89","13.89","2,392","2,392","2,392","2,392","2,392","8.37","8.37","8.37","8.37","8.37","1,063","1,063","1,063","1,063","1,063","3.72","3.72","3.72","3.72","3.72","4,015","4,015","4,015","4,015","4,015","14.05","14.05","14.05","14.05","14.05"
"Monmouth","Shrewsbury Twp","11","4","1,141","1,141","1,141","1,141","1,141","1,119","1,122","1,009","1,010","1,000","-1.93","-1.67","-11.57","-11.48","-12.36","794","867","793","835","-","188","201","147","225","-","23.68","23.18","18.54","26.95","-","128","197","243","252","-","11.33","16.68","22.8","22.56","-","163","163","163","163","163","14.29","14.29","14.29","14.29","14.29","75","75","75","75","75","6.57","6.57","6.57","6.57","6.57","161","161","161","161","161","14.11","14.11","14.11","14.11","14.11","57","57","57","57","57","5","5","5","5","5","205","205","205","205","205","17.97","17.97","17.97","17.97","17.97"
"Atlantic","Corbin City","1","2","492","492","492","492","492","494","492","499","500","493","0.41","0","1.42","1.63","0.2","419","349","354","358","-","84","89","52","84","-","20.05","25.5","14.69","23.46","-","12","13","2","7","-","2.01","2.7","0.41","1.41","-","2","2","2","2","2","0.41","0.41","0.41","0.41","0.41","6","6","6","6","6","1.22","1.22","1.22","1.22","1.22","17","17","17","17","17","3.46","3.46","3.46","3.46","3.46","35","35","35","35","35","7.11","7.11","7.11","7.11","7.11","60","60","60","60","60","12.2","12.2","12.2","12.2","12.2"
"Monmouth","Spring Lake Heights","30","4","4,713","4,713","4,713","4,713","4,713","4,664","4,659","4,611","4,618","4,555","-1.04","-1.15","-2.16","-2.02","-3.35","3,743","3,542","3,419","3,493","-","2,247","1,999","1,184","1,831","-","60.03","56.44","34.63","52.42","-","175","239","296","211","-","3.73","5.1","6.37","4.54","-","30","30","30","30","30","0.64","0.64","0.64","0.64","0.64","51","51","51","51","51","1.08","1.08","1.08","1.08","1.08","155","155","155","155","155","3.29","3.29","3.29","3.29","3.29","142","142","142","142","142","3.01","3.01","3.01","3.01","3.01","1,218","1,218","1,218","1,218","1,218","25.84","25.84","25.84","25.84","25.84"
"Monmouth","Union Beach","13","6","6,245","6,245","6,245","6,245","6,245","5,700","5,595","5,584","5,562","5,485","-8.73","-10.41","-10.58","-10.94","-12.17","3,956","3,909","3,824","3,662","-","652","703","565","883","-","16.48","17.98","14.78","24.11","-","648","420","438","574","-","10.73","7.14","7.59","10.19","-","96","96","96","96","96","1.54","1.54","1.54","1.54","1.54","113","113","113","113","113","1.81","1.81","1.81","1.81","1.81","686","686","686","686","686","10.98","10.98","10.98","10.98","10.98","373","373","373","373","373","5.97","5.97","5.97","5.97","5.97","578","578","578","578","578","9.26","9.26","9.26","9.26","9.26"
"Atlantic","Folsom","2","2","1,885","1,885","1,885","1,885","1,885","1,870","1,851","1,824","1,815","1,792","-0.8","-1.8","-3.24","-3.71","-4.93","1,240","1,304","1,271","1,277","-","195","228","192","260","-","15.73","17.48","15.11","20.36","-","37","45","42","41","-","2.06","2.38","2.26","2.27","-","79","79","79","79","79","4.19","4.19","4.19","4.19","4.19","16","16","16","16","16","0.85","0.85","0.85","0.85","0.85","127","127","127","127","127","6.74","6.74","6.74","6.74","6.74","87","87","87","87","87","4.62","4.62","4.62","4.62","4.62","210","210","210","210","210","11.14","11.14","11.14","11.14","11.14"
"Monmouth","Upper Freehold","12","4","6,902","6,902","6,902","6,902","6,902","6,889","6,887","6,881","6,975","7,019","-0.19","-0.22","-0.3","1.06","1.7","4,570","4,781","4,838","4,884","-","2,365","2,476","1,495","2,612","-","51.75","51.79","30.9","53.48","-","374","418","466","608","-","5.42","6.07","6.78","8.81","-","139","139","139","139","139","2.01","2.01","2.01","2.01","2.01","300","300","300","300","300","4.35","4.35","4.35","4.35","4.35","254","254","254","254","254","3.68","3.68","3.68","3.68","3.68","354","354","354","354","354","5.13","5.13","5.13","5.13","5.13","964","964","964","964","964","13.97","13.97","13.97","13.97","13.97"
"Atlantic","Egg Harbor","2","2","4,243","4,243","4,243","4,243","4,243","4,264","4,239","4,193","4,174","4,104","0.49","-0.09","-1.18","-1.63","-3.28","2,730","29,141","2,688","29,527","-","363","8,905","236","9,232","-","13.3","30.56","8.78","31.27","-","468","6,957","807","7,300","-","11","163.85","19.02","16.72","-","761","761","761","761","761","17.94","17.94","17.94","17.94","17.94","94","94","94","94","94","2.22","2.22","2.22","2.22","2.22","1,115","1,115","1,115","1,115","1,115","26.28","26.28","26.28","26.28","26.28","288","288","288","288","288","6.79","6.79","6.79","6.79","6.79","501","501","501","501","501","11.81","11.81","11.81","11.81","11.81"
"Passaic","Pompton Lakes","40","11","11,097","11,097","11,097","11,097","11,097","11,166","11,202","11,127","11,206","11,014","0.62","0.95","0.27","0.98","-0.75","7,974","7,982","8,036","8,075","-","2,605","2,642","1,579","2,772","-","32.67","33.1","19.65","34.33","-","2,189","2,234","2,450","2,470","-","19.61","19.98","21.95","22.04","-","157","157","157","157","157","1.41","1.41","1.41","1.41","1.41","598","598","598","598","598","5.39","5.39","5.39","5.39","5.39","1,209","1,209","1,209","1,209","1,209","10.89","10.89","10.89","10.89","10.89","616","616","616","616","616","5.55","5.55","5.55","5.55","5.55","1,406","1,406","1,406","1,406","1,406","12.67","12.67","12.67","12.67","12.67"
"Passaic","North Haledon","35","11","8,417","8,417","8,417","8,417","8,417","8,512","8,548","8,491","8,570","8,418","1.13","1.56","0.88","1.82","0.01","6,131","6,338","6,461","6,669","-","2,553","2,713","1,952","2,609","-","41.64","42.81","30.21","39.12","-","1,338","1,344","1,361","1,393","-","15.78","15.8","16.03","16.27","-","148","148","148","148","148","1.76","1.76","1.76","1.76","1.76","318","318","318","318","318","3.78","3.78","3.78","3.78","3.78","628","628","628","628","628","7.46","7.46","7.46","7.46","7.46","471","471","471","471","471","5.6","5.6","5.6","5.6","5.6","1,709","1,709","1,709","1,709","1,709","20.3","20.3","20.3","20.3","20.3"
"Passaic","Wayne","40","11","54,717","54,717","54,717","54,717","54,717","55,049","55,210","54,690","55,072","53,657","0.61","0.9","-0.05","0.65","-1.94","37,787","37,928","37,706","37,992","-","19,010","18,903","12,044","19,378","-","50.31","49.84","31.94","51.01","-","10,252","10,206","10,362","10,510","-","18.64","18.52","18.87","19.06","-","1,247","1,247","1,247","1,247","1,247","2.28","2.28","2.28","2.28","2.28","4,478","4,478","4,478","4,478","4,478","8.18","8.18","8.18","8.18","8.18","4,335","4,335","4,335","4,335","4,335","7.92","7.92","7.92","7.92","7.92","2,458","2,458","2,458","2,458","2,458","4.49","4.49","4.49","4.49","4.49","9,307","9,307","9,307","9,307","9,307","17.01","17.01","17.01","17.01","17.01"
"Passaic","Ringwood","39","5","12,228","12,228","12,228","12,228","12,228","12,377","12,448","12,399","12,454","12,226","1.22","1.8","1.4","1.85","-0.02","8,053","8,185","8,142","8,319","-","3,388","3,453","2,251","3,663","-","42.07","42.19","27.65","44.03","-","1,272","1,149","1,244","1,365","-","10.32","9.28","10.03","10.96","-","166","166","166","166","166","1.36","1.36","1.36","1.36","1.36","213","213","213","213","213","1.74","1.74","1.74","1.74","1.74","707","707","707","707","707","5.78","5.78","5.78","5.78","5.78","689","689","689","689","689","5.63","5.63","5.63","5.63","5.63","1,387","1,387","1,387","1,387","1,387","11.34","11.34","11.34","11.34","11.34"
"Ocean","Surf City","9","2","1,205","1,205","1,205","1,205","1,205","1,216","1,204","1,178","1,187","1,193","0.91","-0.08","-2.24","-1.49","-1","1,014","982","993","1,062","-","463","459","274","527","-","45.66","46.74","27.59","49.62","-","8","8","2","10","-","0.7","0.71","0.17","0.81","-","16","16","16","16","16","1.33","1.33","1.33","1.33","1.33","7","7","7","7","7","0.58","0.58","0.58","0.58","0.58","61","61","61","61","61","5.06","5.06","5.06","5.06","5.06","27","27","27","27","27","2.24","2.24","2.24","2.24","2.24","465","465","465","465","465","38.59","38.59","38.59","38.59","38.59"
"Ocean","Seaside Heights","10","3","2,887","2,887","2,887","2,887","2,887","2,914","2,892","2,896","2,903","2,906","0.94","0.17","0.31","0.55","0.66","2,044","1,931","1,914","1,809","-","166","237","257","254","-","8.12","12.27","13.43","14.04","-","580","591","694","724","-","20.01","20.49","24.09","25.02","-","193","193","193","193","193","6.69","6.69","6.69","6.69","6.69","44","44","44","44","44","1.52","1.52","1.52","1.52","1.52","516","516","516","516","516","17.87","17.87","17.87","17.87","17.87","193","193","193","193","193","6.69","6.69","6.69","6.69","6.69","240","240","240","240","240","8.31","8.31","8.31","8.31","8.31"
"Passaic","Haledon","35","9","8,318","8,318","8,318","8,318","8,318","8,471","8,451","8,395","8,463","8,316","1.84","1.6","0.93","1.74","-0.02","5,607","5,631","5,586","5,445","-","1,575","1,385","1,003","1,399","-","28.09","24.6","17.96","25.69","-","2,615","2,487","2,657","2,948","-","31.14","29.56","31.63","34.93","-","979","979","979","979","979","11.77","11.77","11.77","11.77","11.77","528","528","528","528","528","6.35","6.35","6.35","6.35","6.35","3,460","3,460","3,460","3,460","3,460","41.6","41.6","41.6","41.6","41.6","560","560","560","560","560","6.73","6.73","6.73","6.73","6.73","869","869","869","869","869","10.45","10.45","10.45","10.45","10.45"
"Passaic","Bloomingdale","39","11","7,656","7,656","7,656","7,656","7,656","8,178","8,215","8,173","8,242","8,072","6.82","7.3","6.75","7.65","5.43","5,787","5,913","5,712","5,726","-","1,584","1,779","1,253","2,024","-","27.37","30.09","21.94","35.35","-","1,083","942","1,316","1,147","-","13.87","11.87","16.46","14.09","-","87","87","87","87","87","1.14","1.14","1.14","1.14","1.14","188","188","188","188","188","2.46","2.46","2.46","2.46","2.46","714","714","714","714","714","9.33","9.33","9.33","9.33","9.33","430","430","430","430","430","5.62","5.62","5.62","5.62","5.62","1,136","1,136","1,136","1,136","1,136","14.84","14.84","14.84","14.84","14.84"
"Salem","Elmer","3","2","1,395","1,395","1,395","1,395","1,395","1,355","1,343","1,327","1,312","1,310","-2.87","-3.73","-4.87","-5.95","-6.09","953","981","963","946","-","194","226","147","223","-","20.36","23.04","15.26","23.57","-","27","25","19","12","-","1.96","1.71","1.35","0.86","-","30","30","30","30","30","2.15","2.15","2.15","2.15","2.15","11","11","11","11","11","0.79","0.79","0.79","0.79","0.79","44","44","44","44","44","3.15","3.15","3.15","3.15","3.15","77","77","77","77","77","5.52","5.52","5.52","5.52","5.52","195","195","195","195","195","13.98","13.98","13.98","13.98","13.98"
"Salem","Mannington","3","2","1,806","1,806","1,806","1,806","1,806","1,777","1,750","1,750","1,731","1,730","-1.61","-3.1","-3.1","-4.15","-4.21","1,279","1,342","1,368","1,282","-","227","274","177","277","-","17.75","20.42","12.94","21.61","-","113","123","95","126","-","6.73","6.93","5.35","7.32","-","381","381","381","381","381","21.1","21.1","21.1","21.1","21.1","8","8","8","8","8","0.44","0.44","0.44","0.44","0.44","148","148","148","148","148","8.19","8.19","8.19","8.19","8.19","85","85","85","85","85","4.71","4.71","4.71","4.71","4.71","315","315","315","315","315","17.44","17.44","17.44","17.44","17.44"
"Hunterdon","Lebanon Twp","23","7","6,588","6,588","6,588","6,588","6,588","6,453","6,393","6,091","6,101","6,089","-2.05","-2.96","-7.54","-7.39","-7.57","4,519","4,690","4,555","4,564","-","1,698","2,008","1,206","2,236","-","37.57","42.81","26.48","48.99","-","496","460","492","312","-","7.62","7.13","7.99","5.07","-","111","111","111","111","111","1.68","1.68","1.68","1.68","1.68","97","97","97","97","97","1.47","1.47","1.47","1.47","1.47","205","205","205","205","205","3.11","3.11","3.11","3.11","3.11","261","261","261","261","261","3.96","3.96","3.96","3.96","3.96","999","999","999","999","999","15.16","15.16","15.16","15.16","15.16"
