"","","","","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes","Non-Violent Crimes"
"Warren","Pohatcong","23","7","3","2","1","0","1","153","169","129","147","146"
"Warren","Washington","23","5","10","5","6","3","4","70","52","94","82","47"
"Warren","White","24","5","-","12","-","-","-","-","104","-","-","-"
"Morris","Chatham","21","11","3","0","3","2","0","64","49","43","46","39"
"Gloucester","Woodbury","5","1","31","35","35","47","53","480","458","401","535","423"
"Morris","Chatham Twp","27","11","1","1","3","0","0","41","40","42","39","33"
"Hudson","West New York","32","8","153","127","130","108","138","564","585","549","525","567"
"Morris","Chester Twp","25","7","0","0","4","0","0","30","19","31","45","22"
"Morris","Denville","25","11","9","5","3","1","2","107","88","81","87","90"
"Hunterdon","Milford","23","7","-","-","-","-","-","-","-","-","-","-"
"Morris","East Hanover","27","11","8","6","2","4","2","195","170","132","196","106"
"Ocean","Point Pleasant","30","3, 4","8","10","4","16","3","220","177","158","122","64"
"Cumberland","Downe","1","2","-","-","-","-","-","-","-","-","-","-"
"Morris","Hanover","27","11","12","9","12","7","4","181","201","176","190","161"
"Ocean","Plumsted","12","4","3","7","7","0","1","47","46","29","17","53"
"Essex","Essex Fells","27","11","0","1","0","0","0","6","9","12","13","15"
"Morris","Harding","27","11","1","0","0","2","0","20","11","28","17","18"
"Gloucester","Elk","3","2","6","4","2","6","1","63","51","65","53","34"
"Ocean","Point Pleasant Beach","10","4","3","3","3","1","14","160","139","106","82","115"
"Gloucester","Pitman","4","2","5","7","2","1","4","102","92","55","67","48"
"Camden","Audubon Park","5","1","0","0","0","0","0","21","14","15","47","296"
"Camden","Lawnside","5","1","10","13","19","9","6","95","84","115","117","122"
"Cape May","Cape May","1","2","3","4","6","0","4","156","136","107","93","72"
"Hudson","Weehawken","33","8","19","15","15","15","23","263","302","285","300","223"
"Middlesex","Jamesburg","14","12","6","5","6","8","5","41","38","51","59","56"
"Hudson","Union City","33","8","239","166","211","164","233","1,186","1,159","1,134","1,235","1,078"
"Middlesex","Helmetta","18","12","1","1","0","1","0","31","13","11","10","8"
"Ocean","Lavallette","10","3","0","1","1","1","1","39","31","29","23","22"
