SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,Math,Reading and Writing,TOTAL_AVG,Math_State_avg,Reading_State_avg,TOTAL_STATE_AVG
PERTH AMBOY HIGH SCHOOL,23,4090,50,MIDDLESEX,PERTH AMBOY CITY,469.0,458.0,927.0,543,542,1085
PHILLIPSBURG HIGH SCHOOL,41,4100,50,WARREN,PHILLIPSBURG TOWN,551.0,553.0,1104.0,543,542,1085
PINELANDS REGIONAL HIGH SCHOOL,29,4105,50,OCEAN,PINELANDS REGIONAL,523.0,554.0,1077.0,543,542,1085
PISCATAWAY TOWNSHIP HIGH SCHOOL,23,4130,50,MIDDLESEX,PISCATAWAY TWP,555.0,541.0,1096.0,543,542,1085
PITMAN HIGH SCHOOL,15,4140,50,GLOUCESTER,PITMAN BORO,541.0,553.0,1094.0,543,542,1085
PLAINFIELD ACADEMY FOR THE ARTS & ADVANCED STUDIES,39,4160,52,UNION,PLAINFIELD CITY,486.0,483.0,969.0,543,542,1085
PLAINFIELD HIGH SCHOOL,39,4160,50,UNION,PLAINFIELD CITY,439.0,447.0,886.0,543,542,1085
PLEASANTVILLE HIGH SCHOOL,1,4180,50,ATLANTIC,PLEASANTVILLE CITY,443.0,451.0,894.0,543,542,1085
POINT PLEASANT BEACH HIGH SCHOOL,29,4220,50,OCEAN,POINT PLEASANT BEACH BORO,581.0,579.0,1160.0,543,542,1085
POINT PLEASANT BOROUGH HIGH SCHOOL,29,4210,30,OCEAN,POINT PLEASANT BORO,558.0,563.0,1121.0,543,542,1085
POMPTON LAKES HIGH SCHOOL,31,4230,50,PASSAIC,POMPTON LAKES BORO,566.0,562.0,1128.0,543,542,1085
PRINCETON HIGH SCHOOL,21,4255,50,MERCER,PRINCETON REGIONAL,666.0,654.0,1320.0,543,542,1085
RAHWAY HIGH SCHOOL,39,4290,50,UNION,RAHWAY CITY,497.0,502.0,999.0,543,542,1085
RAMAPO HIGH SCHOOL,3,4300,50,BERGEN,RAMAPO-INDIAN HILL REG,585.0,586.0,1171.0,543,542,1085
RAMSEY HIGH SCHOOL,3,4310,50,BERGEN,RAMSEY BORO,586.0,590.0,1176.0,543,542,1085
RANCOCAS VALLEY REGIONAL HIGH SCHOOL,5,4320,50,BURLINGTON,RANCOCAS VALLEY REGIONAL,538.0,543.0,1081.0,543,542,1085
RANDOLPH HIGH SCHOOL,27,4330,50,MORRIS,RANDOLPH TWP,591.0,588.0,1179.0,543,542,1085
RARITAN HIGH SCHOOL,25,2105,50,MONMOUTH,HAZLET TWP,535.0,544.0,1079.0,543,542,1085
RED BANK REGIONAL HIGH SCHOOL,25,4365,50,MONMOUTH,RED BANK REGIONAL,578.0,585.0,1163.0,543,542,1085
RIDGE HIGH SCHOOL,35,350,50,SOMERSET,BERNARDS TWP,663.0,639.0,1302.0,543,542,1085
RIDGEFIELD MEMORIAL HIGH SCHOOL,3,4370,50,BERGEN,RIDGEFIELD BORO,547.0,537.0,1084.0,543,542,1085
RIDGEFIELD PARK JR SR HIGH SCHOOL,3,4380,50,BERGEN,RIDGEFIELD PARK TWP,512.0,516.0,1028.0,543,542,1085
RIDGEWOOD HIGH SCHOOL,3,4390,50,BERGEN,RIDGEWOOD VILLAGE,642.0,627.0,1269.0,543,542,1085
RIVER DELL REGIONAL HIGH SCHOOL,3,4405,50,BERGEN,RIVER DELL REGIONAL,621.0,605.0,1226.0,543,542,1085
RIVERSIDE HIGH SCHOOL,5,4450,50,BURLINGTON,RIVERSIDE TWP,493.0,505.0,998.0,543,542,1085
ROBBINSVILLE HIGH SCHOOL,21,5510,30,MERCER,ROBBINSVILLE TWP,590.0,593.0,1183.0,543,542,1085
ROSA L. PARKS SCHOOL OF FINE AND PERFORMING ARTS,31,4010,20,PASSAIC,PATERSON CITY,444.0,469.0,913.0,543,542,1085
ROSELLE PARK HIGH SCHOOL,39,4550,50,UNION,ROSELLE PARK BORO,526.0,510.0,1036.0,543,542,1085
ROXBURY HIGH SCHOOL,27,4560,50,MORRIS,ROXBURY TWP,554.0,554.0,1108.0,543,542,1085
RUMSON-FAIR HAVEN REGIONAL HIGH SCHOOL,25,4580,50,MONMOUTH,RUMSON-FAIR HAVEN REG,603.0,600.0,1203.0,543,542,1085
RUTHERFORD HIGH SCHOOL,3,4600,50,BERGEN,RUTHERFORD BORO,561.0,560.0,1121.0,543,542,1085
SADDLE BROOK MIDDLE/HIGH SCHOOL,3,4610,50,BERGEN,SADDLE BROOK TWP,516.0,526.0,1042.0,543,542,1085
SALEM COUNTY CAREER AND TECHNICAL HIGH SCHOOL,33,4640,40,SALEM,SALEM COUNTY VOCATIONAL,540.0,540.0,1080.0,543,542,1085
SALEM HIGH SCHOOL,33,4630,50,SALEM,SALEM CITY,437.0,446.0,883.0,543,542,1085
SAYREVILLE WAR MEMORIAL HIGH SCHOOL,23,4660,50,MIDDLESEX,SAYREVILLE BORO,539.0,529.0,1068.0,543,542,1085
SCHOOL OF ARCHITECTURE AND CONSTRUCTION TRADES,31,4010,307,PASSAIC,PATERSON CITY,411.0,427.0,838.0,543,542,1085
"SCHOOL OF BUSINESS, TECHNOLOGY, MARKETING AND FINANCE",31,4010,306,PASSAIC,PATERSON CITY,431.0,433.0,864.0,543,542,1085
"SCHOOL OF CULINARY ARTS, HOSPITALITY AND TOURISM",31,4010,2,PASSAIC,PATERSON CITY,416.0,433.0,849.0,543,542,1085
SCHOOL OF EARTH AND SPACE SCIENCE,31,4010,5,PASSAIC,PATERSON CITY,446.0,456.0,902.0,543,542,1085
SCHOOL OF EDUCATION AND TRAINING,31,4010,305,PASSAIC,PATERSON CITY,398.0,414.0,812.0,543,542,1085
SCHOOL OF GOVERNMENT AND PUBLIC ADMINISTRATION,31,4010,3,PASSAIC,PATERSON CITY,422.0,421.0,843.0,543,542,1085
SCHOOL OF HEALTH SCIENCE,31,4010,4,PASSAIC,PATERSON CITY,455.0,465.0,920.0,543,542,1085
SCHOOL OF INFORMATION TECHNOLOGY,31,4010,1,PASSAIC,PATERSON CITY,413.0,426.0,839.0,543,542,1085
"SCHOOL OF SCIENCE, TECHNOLOGY, ENGINEERING AND MATHEMATICS",31,4010,304,PASSAIC,PATERSON CITY,472.0,468.0,940.0,543,542,1085
SCIENCE PARK HIGH SCHOOL,13,3570,55,ESSEX,NEWARK CITY,593.0,568.0,1161.0,543,542,1085
SCOTCH PLAINS-FANWOOD HIGH SCHOOL,39,4670,50,UNION,SCOTCH PLAINS-FANWOOD REG,594.0,579.0,1173.0,543,542,1085
SECAUCUS HIGH SCHOOL,17,4730,50,HUDSON,SECAUCUS TOWN,543.0,536.0,1079.0,543,542,1085
