"","","Res. Enroll.","Res. Enroll.","Res. Enroll.","Res. Enroll.","Res. Enroll.","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","State Aid ($)","State Aid ($)","State Aid ($)","State Aid ($)","State Aid ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","EVPP ($)","EVPP ($)","EVPP ($)","EVPP ($)","EVPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)"
"County  ","School District Name  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  "
"Hunterdon","Hampton Boro","-","98","101","124","104","-","1,632,895","1,602,895","1,602,895","1,740,653","-","898,679","896,297","945,149","958,360","-","2,531,574","2,499,192","2,548,044","2,699,013","-","35.5","35.86","37.09","35.51","-","25,832.39","24,744.48","20,548.74","25,952.05","-","79,257,159","77,616,335","79,162,763","81,147,228","-","22,982,568","25,830,950","26,106,205","27,075,749","-","808,746.52","768,478.56","638,409.38","780,261.81","-","234,516","255,751.98","210,533.91","260,343.74","-","0.94","0.88","0.71","0.82","-","1","1.07","0.83","0.98"
"Hunterdon","High Bridge","-","360","360","377","356","-","5,281,889","5,388,481","5,388,481","6,116,349","-","1,591,469","1,465,445","1,485,424","1,488,722","-","6,873,358","6,853,926","6,873,905","7,605,071","-","23.15","21.38","21.61","19.58","-","19,092.66","19,038.68","18,233.17","21,362.56","-","240,943,995","238,056,670","249,128,661","256,389,871","-","88,025,799","89,639,671","95,982,447","100,237,416","-","669,288.88","661,268.53","660,818.73","720,196.27","-","244,516.11","248,999.09","254,595.35","281,565.78","-","0.78","0.75","0.74","0.75","-","1.04","1.04","1.01","1.06"
"Hunterdon","Holland","-","571","534","521","509","-","8,634,029","8,771,709","8,771,709","9,025,784","-","1,912,873","1,793,054","1,798,214","1,819,736","-","10,546,902","10,564,763","10,569,923","10,845,520","-","18.14","16.97","17.01","16.78","-","18,470.93","19,784.2","20,287.76","21,307.5","-","445,233,768","436,670,719","433,198,838","465,841,652","-","145,136,576","139,412,965","142,007,710","158,413,467","-","779,743.9","817,735.43","831,475.7","915,209.53","-","254,179.64","261,072.97","272,567.58","311,224.89","-","0.91","0.93","0.93","0.96","-","1.09","1.09","1.08","1.17"
"Hunterdon","Hunterdon Central Regional","-","2,977","2,990.5","2,956.5","2,796","-","48,957,942","49,568,121","49,568,121","52,598,796","-","6,060,972","5,662,438","5,705,974","5,719,700","-","55,018,914","55,230,559","55,274,095","58,318,496","-","11.02","10.25","10.32","9.81","-","18,481.33","18,468.67","18,695.79","20,857.83","-","3,072,554,572","3,248,414,097","3,356,325,898","3,284,104,966","-","983,972,744","1,036,092,464","1,099,845,661","1,098,611,821","-","1,032,097.61","1,086,244.47","1,135,236.22","1,174,572.59","-","330,524.94","346,461.28","372,009.36","392,922.68","-","1.2","1.24","1.27","1.23","-","1.41","1.45","1.47","1.48"
"Hunterdon","Hunterdon County Vocational","-","230","254","292","394.5","-","1,550,979","1,582,001","1,582,001","1,645,914","-","930,643","930,643","933,283","933,283","-","2,481,622","2,512,644","2,515,284","2,579,197","-","37.5","37.04","37.1","36.19","-","10,789.66","9,892.3","8,613.99","6,537.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Hunterdon","Kingwood","-","349","334","337","314","-","5,263,158","5,368,421","5,368,421","5,694,797","-","1,294,467","1,305,357","1,308,517","1,294,296","-","6,557,625","6,673,778","6,676,938","6,989,093","-","19.74","19.56","19.6","18.52","-","18,789.76","19,981.37","19,812.87","22,258.26","-","398,989,616","379,885,579","396,422,842","416,745,743","-","97,961,935","94,120,247","108,168,098","123,413,122","-","1,143,236.72","1,137,381.97","1,176,328.91","1,327,215.74","-","280,693.22","281,797.15","320,973.58","393,035.42","-","1.33","1.3","1.31","1.39","-","1.2","1.18","1.27","1.48"
"Hunterdon","Lebanon","-","109","123","122","121","-","2,237,738","2,381,237","2,381,237","2,707,930","-","193,828","187,103","191,092","191,691","-","2,431,566","2,568,340","2,572,329","2,899,621","-","7.97","7.28","7.43","6.61","-","22,307.94","20,880.81","21,084.66","23,963.81","-","177,082,784","184,460,525","195,962,148","194,204,496","-","34,178,130","43,583,238","47,807,637","47,668,031","-","1,624,612.7","1,499,679.07","1,606,247.11","1,604,995.83","-","313,560.83","354,335.27","391,865.88","393,950.67","-","1.89","1.71","1.79","1.68","-","1.34","1.48","1.55","1.48"
"Hunterdon","Milford","-","83","81","70","69","-","1,783,737","1,819,400","1,819,400","1,887,914","-","326,925","333,790","334,550","334,550","-","2,110,662","2,153,190","2,153,950","2,222,464","-","15.49","15.5","15.53","15.05","-","25,429.66","26,582.59","30,770.71","32,209.62","-","69,112,244","74,896,911","68,225,528","73,523,461","-","21,683,412","22,133,131","21,486,437","23,387,941","-","832,677.64","924,653.22","974,650.4","1,065,557.41","-","261,245.93","273,248.53","306,949.1","338,955.67","-","0.97","1.05","1.09","1.12","-","1.12","1.14","1.22","1.28"
"Hunterdon","Lebanon Twp","-","664","638","598","574","-","9,400,000","9,541,000","9,541,000","10,124,520","-","2,566,472","2,350,544","2,356,764","2,331,396","-","11,966,472","11,891,544","11,897,764","12,455,916","-","21.45","19.77","19.81","18.72","-","18,021.8","18,638.78","19,895.93","21,700.2","-","576,245,237","584,308,037","568,060,186","584,477,720","-","185,717,976","189,737,910","189,574,205","205,088,975","-","867,839.21","915,843.32","949,933.42","1,018,253.87","-","279,695.75","297,394.84","317,013.72","357,297.87","-","1.01","1.04","1.06","1.07","-","1.19","1.25","1.26","1.35"
"Hunterdon","East Amwell","-","368","336","321","326","-","6,649,944","6,748,018","6,748,018","6,930,899","-","869,460","873,046","876,206","884,867","-","7,519,404","7,621,064","7,624,224","7,815,766","-","11.56","11.46","11.49","11.32","-","20,433.16","22,681.74","23,751.48","23,974.74","-","501,063,149","483,313,090","461,912,972","502,504,852","-","135,762,672","137,326,497","138,474,183","144,796,098","-","1,361,584.64","1,438,431.82","1,438,981.22","1,541,425.93","-","368,920.3","408,709.81","431,383.75","444,159.81","-","1.59","1.64","1.6","1.61","-","1.58","1.71","1.71","1.67"
"Hunterdon","Delaware","-","363","386","374","361","-","7,185,000","7,328,700","7,328,700","7,994,723","-","1,205,781","1,170,306","1,174,046","1,163,425","-","8,390,781","8,499,006","8,502,746","9,158,148","-","14.37","13.77","13.81","12.7","-","23,115.1","22,018.15","22,734.61","25,368.83","-","566,820,118","629,587,520","594,748,855","616,087,499","-","226,006,703","244,764,683","214,996,615","230,847,986","-","1,561,487.93","1,631,055.75","1,590,237.58","1,706,613.57","-","622,608","634,105.4","574,857.26","639,468.11","-","1.82","1.86","1.77","1.79","-","2.66","2.66","2.28","2.41"
"Hunterdon","Delaware Valley Regional","-","872","846","801.5","682","-","13,525,820","13,783,832","13,783,832","14,197,385","-","4,204,640","3,997,620","4,005,830","4,005,830","-","17,730,460","17,781,452","17,789,662","18,203,215","-","23.71","22.48","22.52","22.01","-","20,333.1","21,018.26","22,195.46","26,690.93","-","831,080,879","824,153,902","812,095,209","753,662,713","-","243,749,611","244,265,585","252,258,370","243,857,928","-","953,074.4","974,177.19","1,013,219.23","1,105,077.29","-","279,529.37","288,730.01","314,732.84","357,562.94","-","1.11","1.11","1.13","1.16","-","1.19","1.21","1.25","1.35"
"Hunterdon","Clinton Twp","-","1,399","1,324","1,292","1,179","-","22,580,498","22,918,742","22,918,742","23,492,320","-","2,887,830","2,288,009","2,322,415","2,323,341","-","25,468,328","25,206,751","25,241,157","25,815,661","-","11.34","9.08","9.2","9","-","18,204.67","19,038.33","19,536.5","21,896.23","-","1,376,640,666","1,382,626,814","1,395,378,211","1,428,827,986","-","482,441,611","501,991,460","525,307,713","562,481,054","-","984,017.63","1,044,280.07","1,080,014.1","1,211,898.21","-","344,847.47","379,147.63","406,584.92","477,083.17","-","1.15","1.19","1.2","1.27","-","1.47","1.59","1.61","1.8"
"Hunterdon","Clinton-Glen Gardner","-","328","314","303","293","-","4,614,245","4,777,330","4,777,330","4,813,667","-","1,243,199","1,224,282","1,242,707","1,251,653","-","5,857,444","6,001,612","6,020,037","6,065,320","-","21.22","20.4","20.64","20.64","-","17,858.06","19,113.41","19,868.11","20,700.75","-","270,488,133","255,723,192","258,400,164","246,806,449","-","82,271,516","80,503,643","87,616,454","88,252,279","-","824,658.94","814,405.07","852,805.82","842,342.83","-","250,827.79","256,381.03","289,163.21","301,202.32","-","0.96","0.93","0.95","0.88","-","1.07","1.07","1.15","1.13"
"Hunterdon","Bloomsbury","-","167","173","161","121","-","1,588,454","1,620,223","1,620,223","1,775,242","-","1,292,655","1,292,655","1,348,857","1,349,435","-","2,881,109","2,912,878","2,969,080","3,124,677","-","44.87","44.38","45.43","43.19","-","17,252.15","16,837.45","18,441.49","25,823.78","-","99,400,383","94,063,304","95,982,445","98,648,413","-","27,325,454","27,863,433","28,589,055","27,848,083","-","595,211.87","543,718.52","596,164.25","815,276.14","-","163,625.47","161,060.31","177,571.77","230,149.45","-","0.69","0.62","0.66","0.85","-","0.7","0.67","0.7","0.87"
"Hunterdon","Califon","-","101","101","87","69","-","2,067,948","2,109,307","2,109,307","2,194,523","-","296,906","296,906","320,754","320,754","-","2,364,854","2,406,213","2,430,061","2,515,277","-","12.55","12.34","13.2","12.75","-","23,414.4","23,823.89","27,931.74","36,453.29","-","80,669,821","85,254,793","78,047,595","75,696,720","-","33,185,274","27,275,734","24,933,652","21,571,281","-","798,711.1","844,106.86","897,098.79","1,097,053.91","-","328,567.07","270,056.77","286,593.7","312,627.26","-","0.93","0.96","1","1.15","-","1.4","1.13","1.14","1.18"
"Hunterdon","Alexandria","-","470","468","457","454","-","7,646,655","7,799,588","7,799,588","8,581,988","-","1,741,694","1,607,869","1,663,317","1,646,845","-","9,388,349","9,407,457","9,462,905","10,228,833","-","18.55","17.09","17.58","16.1","-","19,975.21","20,101.4","20,706.58","22,530.47","-","484,537,719","487,950,076","510,661,361","531,307,568","-","150,721,620","158,574,828","168,834,902","181,045,968","-","1,030,931.32","1,042,628.37","1,117,420.92","1,170,280.99","-","320,684.3","338,835.1","369,441.8","398,779.67","-","1.2","1.19","1.25","1.23","-","1.37","1.42","1.46","1.5"
"Hunterdon","Bethlehem","-","402","388","364","346","-","6,899,434","7,038,822","7,038,822","7,038,272","-","1,598,521","1,542,185","1,545,815","1,545,815","-","8,497,955","8,581,007","8,584,637","8,584,087","-","18.81","17.97","18.01","18.01","-","21,139.19","22,116","23,584.17","24,809.5","-","330,916,216","329,086,689","328,668,405","337,884,055","-","122,186,877","117,554,401","127,761,940","127,473,579","-","823,174.67","848,161.57","902,935.18","976,543.51","-","303,947.46","302,975.26","350,994.34","368,420.75","-","0.96","0.97","1.01","1.02","-","1.3","1.27","1.39","1.39"
"Hunterdon","Franklin Twp","-","292","299","287","262","-","5,230,664","5,335,277","5,335,277","5,659,758","-","354,506","329,410","333,405","340,425","-","5,585,170","5,664,687","5,668,682","6,000,183","-","6.35","5.82","5.88","5.67","-","19,127.29","18,945.44","19,751.51","22,901.46","-","354,559,175","357,250,718","346,548,664","346,308,350","-","107,219,549","103,519,318","111,940,859","102,042,858","-","1,214,243.75","1,194,818.45","1,207,486.63","1,321,787.6","-","367,190.24","346,218.45","390,037.84","389,476.56","-","1.41","1.36","1.35","1.38","-","1.57","1.45","1.55","1.47"
"Hunterdon","Flemington-Raritan Regional","-","3,341","3,147","3,083","3,063","-","46,307,968","48,158,053","48,158,053","51,581,028","-","6,263,052","6,126,350","6,159,367","6,159,367","-","52,571,020","54,284,403","54,317,420","57,740,395","-","11.91","11.29","11.34","10.67","-","15,735.12","17,249.57","17,618.37","18,850.93","-","2,916,147,205","2,909,546,641","2,961,403,592","3,006,776,824","-","927,831,991","922,306,573","987,008,072","1,000,308,041","-","872,836.64","924,546.12","960,559.06","981,644.41","-","277,710.86","293,074.86","320,145.34","326,577.88","-","1.02","1.05","1.07","1.03","-","1.19","1.23","1.27","1.23"
"Hudson","West New York","-","7,303","7,421","7,589","7,476","-","14,860,598","14,860,598","14,860,598","17,567,975","-","110,371,431","93,312,984","94,065,988","95,592,169","-","125,232,029","108,173,582","108,926,586","113,160,144","-","88.13","86.26","86.36","84.48","-","17,148.03","14,576.69","14,353.22","15,136.46","-","2,434,363,285","2,468,399,203","2,669,311,741","3,106,536,355","-","927,168,552","961,103,704","1,073,132,915","1,165,123,735","-","333,337.43","332,623.53","351,734.32","415,534.56","-","126,957.22","129,511.35","141,406.37","155,848.55","-","0.39","0.38","0.39","0.44","-","0.54","0.54","0.56","0.59"
"Monmouth","Brielle","-","813","798.5","794.5","743","-","12,263,405","12,508,674","12,508,674","13,274,304","-","605,387","430,068","440,399","467,593","-","12,868,792","12,938,742","12,949,073","13,741,897","-","4.7","3.32","3.4","3.4","-","15,828.77","16,203.81","16,298.39","18,495.15","-","1,356,437,672","1,373,799,339","1,467,178,803","1,546,255,354","-","325,280,475","322,737,237","390,641,684","366,027,961","-","1,668,435.02","1,720,475.06","1,846,669.36","2,081,097.38","-","400,098.99","404,179.38","491,682.42","492,635.21","-","1.94","1.96","2.06","2.18","-","1.71","1.69","1.95","1.86"
"Monmouth","Bradley Beach","-","372","374.5","353.5","366.5","-","5,502,584","5,612,635","5,612,635","5,977,008","-","1,157,808","1,062,509","1,071,447","1,050,018","-","6,660,392","6,675,144","6,684,082","7,027,026","-","17.38","15.92","16.03","14.94","-","17,904.28","17,824.15","18,908.29","19,173.33","-","1,089,715,811","1,133,200,920","1,183,766,155","1,340,592,396","-","129,321,486","145,316,475","135,196,859","141,760,549","-","2,929,343.58","3,025,903.66","3,348,701.99","3,657,823.73","-","347,638.4","388,027.97","382,452.22","386,795.5","-","3.41","3.45","3.73","3.83","-","1.48","1.63","1.52","1.46"
"Monmouth","Belmar","-","541.5","560.5","541.5","507.5","-","7,785,979","8,013,057","8,013,057","8,663,263","-","1,244,940","980,970","995,504","975,594","-","9,030,919","8,994,027","9,008,561","9,638,857","-","13.79","10.91","11.05","10.12","-","16,677.6","16,046.44","16,636.31","18,992.82","-","1,521,202,996","1,522,587,755","1,564,648,689","1,817,767,196","-","190,218,494","204,802,656","211,970,311","262,346,545","-","2,809,239.14","2,716,481.28","2,889,471.26","3,581,807.28","-","351,280.69","365,392.79","391,450.25","516,939","-","3.27","3.1","3.22","3.75","-","1.5","1.53","1.55","1.95"
"Monmouth","Eatontown","-","1,052","1,053","1,035","951","-","13,498,414","13,748,134","13,748,134","15,446,903","-","3,875,826","3,824,839","3,851,572","3,774,541","-","17,374,240","17,572,973","17,599,706","19,221,444","-","22.31","21.77","21.88","19.64","-","16,515.44","16,688.48","17,004.55","20,211.82","-","1,424,005,303","1,393,644,738","1,419,918,373","1,600,150,603","-","251,575,361","261,453,323","264,512,753","284,071,554","-","1,353,617.21","1,323,499.28","1,371,901.81","1,682,597.9","-","239,140.08","248,293.75","255,567.88","298,708.26","-","1.58","1.51","1.53","1.76","-","1.02","1.04","1.01","1.12"
"Monmouth","Fair Haven","-","986","991","1,002","944","-","12,717,098","13,150,166","13,150,166","14,180,909","-","423,524","423,524","435,156","466,724","-","13,140,622","13,573,690","13,585,322","14,647,633","-","3.22","3.12","3.2","3.19","-","13,327.2","13,696.96","13,558.21","15,516.56","-","1,051,458,227","1,087,359,247","1,106,786,107","1,203,152,699","-","361,659,648","404,325,120","412,592,595","450,980,568","-","1,066,387.65","1,097,234.36","1,104,576.95","1,274,526.16","-","366,794.77","407,997.09","411,769.06","477,733.65","-","1.24","1.25","1.23","1.34","-","1.57","1.71","1.63","1.8"
"Monmouth","Colts Neck","-","943","919","881","921","-","19,726,580","20,257,388","20,257,388","21,347,051","-","1,206,385","997,628","1,010,861","1,025,733","-","20,932,965","21,255,016","21,268,249","22,372,784","-","5.76","4.69","4.75","4.58","-","22,198.27","23,128.42","24,141.03","24,291.84","-","1,989,695,362","1,975,353,552","1,926,995,897","2,060,713,389","-","713,390,439","735,091,773","779,364,998","768,359,298","-","2,109,963.27","2,149,459.8","2,187,282.52","2,237,473.82","-","756,511.6","799,882.23","884,636.77","834,266.34","-","2.46","2.45","2.44","2.34","-","3.23","3.35","3.51","3.14"
"Monmouth","Deal","-","169","168.5","171.5","175","-","1,967,702","1,967,702","1,967,702","2,007,056","-","1,900,705","2,083,568","2,102,539","2,115,112","-","3,868,407","4,051,270","4,070,241","4,122,168","-","49.13","51.43","51.66","51.31","-","22,889.98","24,043.15","23,733.18","23,555.25","-","2,070,180,822","2,086,507,982","2,198,461,628","2,632,626,115","-","67,260,553","63,437,590","66,035,929","57,317,963","-","12,249,590.66","12,382,836.69","12,819,018.24","15,043,577.8","-","397,991.44","376,484.21","385,049.15","327,531.22","-","14.26","14.11","14.29","15.76","-","1.7","1.58","1.53","1.23"
"Monmouth","Freehold Regional","-","11,302.5","11,136","10,958","10,689","-","121,473,208","125,634,974","125,634,974","134,270,320","-","54,278,569","51,453,953","51,564,083","51,564,083","-","175,751,777","177,088,927","177,199,057","185,834,403","-","30.88","29.06","29.1","27.75","-","15,549.81","15,902.38","16,170.75","17,385.57","-","10,113,598,655","10,505,512,192","10,580,178,984","11,282,956,255","-","3,010,721,868","3,096,123,251","3,290,765,433","3,389,925,549","-","894,810.76","943,382.92","965,520.99","1,055,567.06","-","266,376.63","278,028.31","300,307.12","317,141.51","-","1.04","1.08","1.08","1.11","-","1.14","1.16","1.19","1.19"
"Monmouth","Freehold Twp","-","3,881","3,791","3,744","3,679","-","60,383,969","62,798,706","62,798,706","66,642,489","-","4,995,711","4,201,528","4,258,004","4,266,774","-","65,379,680","67,000,234","67,056,710","70,909,263","-","7.64","6.27","6.35","6.02","-","16,846.09","17,673.5","17,910.45","19,274.06","-","3,995,971,575","4,263,272,315","4,258,027,653","4,405,236,626","-","981,807,925","992,399,613","1,063,370,899","1,144,167,622","-","1,029,624.21","1,124,577.24","1,137,293.71","1,197,400.55","-","252,978.08","261,777.79","284,020.01","310,999.63","-","1.2","1.28","1.27","1.25","-","1.08","1.1","1.13","1.17"
"Monmouth","Farmingdale","-","157","155","145","147","-","1,560,784","1,680,867","1,680,867","1,961,779","-","781,847","780,516","784,929","785,824","-","2,342,631","2,461,383","2,465,796","2,747,603","-","33.37","31.71","31.83","28.6","-","14,921.22","15,879.89","17,005.49","18,691.18","-","101,337,410","105,717,434","103,807,640","111,891,416","-","27,980,664","30,019,525","30,707,036","31,089,808","-","645,461.21","682,047.96","715,914.76","761,166.1","-","178,220.79","193,674.35","211,772.66","211,495.29","-","0.75","0.78","0.8","0.8","-","0.76","0.81","0.84","0.8"
"Monmouth","Freehold","-","1,599","1,636","1,637","1,622","-","9,725,469","10,566,139","10,566,139","11,235,266","-","9,923,672","9,643,250","9,744,020","10,699,812","-","19,649,141","20,209,389","20,310,159","21,935,078","-","50.5","47.72","47.98","48.78","-","12,288.39","12,352.93","12,406.94","13,523.48","-","713,027,343","723,750,603","751,059,965","775,744,068","-","164,522,354","170,105,393","178,015,549","180,088,502","-","445,920.79","442,390.34","458,802.67","478,263.91","-","102,890.78","103,976.4","108,744.99","111,028.67","-","0.52","0.5","0.51","0.5","-","0.44","0.44","0.43","0.42"
"Middlesex","South Amboy","-","1,084.5","1,083","1,066.5","1,067.5","-","8,770,681","8,946,094","8,946,094","9,547,666","-","6,893,877","6,595,806","6,627,860","6,627,860","-","15,664,558","15,541,900","15,573,954","16,175,526","-","44.01","42.44","42.56","40.97","-","14,444.04","14,350.78","14,602.86","15,152.72","-","821,267,784","817,220,961","863,167,063","918,730,111","-","240,072,742","243,940,585","246,842,872","258,262,473","-","757,277.81","754,589.99","809,345.58","860,637.11","-","221,367.21","225,245.23","231,451.36","241,932.06","-","0.88","0.86","0.9","0.9","-","0.95","0.94","0.92","0.91"
"Middlesex","Sayreville","-","6,119.5","6,157","6,166","6,283.5","-","55,338,023","56,876,379","56,876,379","61,917,499","-","21,766,574","21,099,588","21,330,942","22,330,303","-","77,104,597","77,975,967","78,207,321","84,247,802","-","28.23","27.06","27.27","26.51","-","12,599.82","12,664.6","12,683.64","13,407.78","-","4,382,928,672","4,495,104,848","4,611,676,872","4,770,519,092","-","1,293,692,746","1,344,508,692","1,395,185,205","1,478,387,206","-","716,223.33","730,080.37","747,920.35","759,213.67","-","211,404.98","218,370.75","226,270.71","235,280.85","-","0.83","0.83","0.83","0.8","-","0.9","0.91","0.9","0.89"
"Middlesex","South Plainfield","-","3,472","3,425.5","3,380","3,359.5","-","43,653,001","44,942,061","44,942,061","48,630,525","-","9,431,572","9,132,098","9,200,178","9,202,688","-","53,084,573","54,074,159","54,142,239","57,833,213","-","17.77","16.89","16.99","15.91","-","15,289.34","15,785.77","16,018.41","17,214.83","-","3,813,297,103","3,770,777,387","3,685,814,440","3,944,012,798","-","730,352,731","769,137,683","796,176,755","831,739,554","-","1,098,299.86","1,100,796.2","1,090,477.64","1,173,988.03","-","210,355.05","224,532.97","235,555.25","247,578.38","-","1.28","1.25","1.22","1.23","-","0.9","0.94","0.93","0.93"
"Middlesex","South Brunswick","-","8,636.5","8,703.5","8,663.5","8,567","-","98,149,466","101,034,916","101,034,916","108,405,418","-","23,954,676","23,395,241","23,651,279","23,651,279","-","122,104,142","124,430,157","124,686,195","132,056,697","-","19.62","18.8","18.97","17.91","-","14,138.15","14,296.57","14,392.13","15,414.58","-","7,901,116,177","8,680,361,208","8,536,902,266","9,982,501,653","-","1,895,525,142","2,033,390,647","2,137,778,309","2,244,615,658","-","914,851.64","997,341.44","985,387.23","1,165,227.23","-","219,478.39","233,629.07","246,756.89","262,007.2","-","1.07","1.14","1.1","1.22","-","0.94","0.98","0.98","0.99"
"Middlesex","South River","-","2,314.5","2,242.5","2,223.5","2,260","-","14,015,039","14,474,933","14,474,933","16,005,333","-","13,204,132","12,905,120","13,036,888","13,314,062","-","27,219,171","27,380,053","27,511,821","29,319,395","-","48.51","47.13","47.39","45.41","-","11,760.28","12,209.61","12,373.2","12,973.18","-","1,292,961,910","1,338,389,682","1,350,242,703","1,419,843,307","-","373,443,457","387,437,434","402,990,884","429,519,587","-","558,635.52","596,829.29","607,260.04","628,249.25","-","161,349.52","172,770.32","181,241.68","190,052.91","-","0.65","0.68","0.68","0.66","-","0.69","0.72","0.72","0.72"
"Middlesex","Spotswood","-","1,174","1,193","1,188","1,132","-","11,315,003","11,779,153","11,779,153","12,649,770","-","6,219,068","6,071,713","6,130,274","6,278,845","-","17,534,071","17,850,866","17,909,427","18,928,615","-","35.47","34.01","34.23","33.17","-","14,935.32","14,963.01","15,075.28","16,721.39","-","767,576,473","771,596,429","776,782,558","810,065,856","-","238,619,784","248,141,869","253,349,290","262,190,554","-","653,813.01","646,769.85","653,857.37","715,605.88","-","203,253.65","207,998.21","213,256.98","231,617.1","-","0.76","0.74","0.73","0.75","-","0.87","0.87","0.85","0.87"
"Middlesex","Woodbridge","-","13,792.5","13,798","13,852.5","13,876","-","166,241,558","169,566,389","169,566,389","179,945,208","-","25,867,393","23,621,418","23,934,460","28,997,676","-","192,108,951","193,187,807","193,500,849","208,942,884","-","13.46","12.23","12.37","13.88","-","13,928.51","14,001.15","13,968.66","15,057.86","-","10,721,860,747","11,399,418,958","10,529,809,235","11,409,315,649","-","2,844,378,283","2,970,431,201","3,109,745,509","3,326,603,112","-","777,368.91","826,164.59","760,137.83","822,233.76","-","206,226.45","215,279.84","224,489.84","239,737.9","-","0.91","0.94","0.85","0.86","-","0.88","0.9","0.89","0.9"
"Monmouth","Allenhurst","-","5","5","3","6","-","39,073","189,073","189,073","192,854","-","47,745","47,745","47,922","46,964","-","86,818","236,818","236,995","239,818","-","54.99","20.16","20.22","19.58","-","17,363.6","47,363.6","78,998.33","39,969.67","-","504,606,813","582,946,565","564,166,366","664,018,899","-","38,137,219","29,071,441","48,841,786","35,264,617","-","100,921,362.6","116,589,313","188,055,455.33","110,669,816.5","-","7,627,443.8","5,814,288.2","16,280,595.33","5,877,436.17","-","117.5","132.89","209.71","115.93","-","32.58","24.36","64.54","22.13"
"Monmouth","Asbury Park","-","2,376","2,294","2,241","2,129.5","-","6,505,623","6,635,736","6,635,736","7,399,447","-","63,848,489","55,407,010","55,429,860","54,448,308","-","70,354,112","62,042,746","62,065,596","61,847,755","-","90.75","89.3","89.31","88.04","-","29,610.32","27,045.66","27,695.49","29,043.32","-","1,424,689,394","1,400,318,489","1,410,620,423","1,744,926,806","-","222,273,725","276,059,152","265,719,982","294,690,985","-","599,616.75","610,426.54","629,460.25","819,406.81","-","93,549.55","120,339.65","118,572.06","138,385.06","-","0.7","0.7","0.7","0.86","-","0.4","0.5","0.47","0.52"
"Monmouth","Atlantic Highlands","-","276","296","304","261","-","4,185,461","4,269,170","4,269,170","4,872,548","-","176,975","154,342","158,039","166,526","-","4,362,436","4,423,512","4,427,209","5,039,074","-","4.06","3.49","3.57","3.3","-","15,805.93","14,944.3","14,563.19","19,306.8","-","460,850,866","492,099,095","499,908,989","511,492,858","-","115,394,290","124,144,775","128,558,796","131,144,663","-","1,669,749.51","1,662,496.94","1,644,437.46","1,959,742.75","-","418,095.25","419,408.02","422,890.78","502,469.97","-","1.94","1.89","1.83","2.05","-","1.79","1.76","1.68","1.89"
"Monmouth","Avon","-","163","161","168","162.5","-","3,267,084","3,305,649","3,305,649","3,537,142","-","200,062","175,564","179,323","182,458","-","3,467,146","3,481,213","3,484,972","3,719,600","-","5.77","5.04","5.15","4.91","-","21,270.83","21,622.44","20,743.88","22,889.85","-","977,029,513","976,053,048","983,443,963","1,037,515,489","-","99,896,738","100,187,782","113,813,321","113,930,551","-","5,994,046.09","6,062,441.29","5,853,833.11","6,384,710.7","-","612,863.42","622,284.36","677,460.24","701,111.08","-","6.98","6.91","6.53","6.69","-","2.62","2.61","2.69","2.64"
