"","","Res. Enroll.","Res. Enroll.","Res. Enroll.","Res. Enroll.","Res. Enroll.","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","Tax Levy ($)","State Aid ($)","State Aid ($)","State Aid ($)","State Aid ($)","State Aid ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","Sch. Budget ($)","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","State Aid % of Budget","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Budget/Pupil ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Equalized Valuation ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","Pers. Income ($)","EVPP ($)","EVPP ($)","EVPP ($)","EVPP ($)","EVPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","PIPP ($)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: EVPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)","Wealth Ratio: PIPP (%)"
"County  ","School District Name  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  ","2013-2014  ","2014-2015  ","2015-2016  ","2016-2017  ","2017-2018  "
"Morris","Mount Arlington","-","516","495.5","519.5","535","-","9,467,364","9,738,377","9,738,377","10,578,174","-","765,503","537,002","546,482","557,623","-","10,232,867","10,275,379","10,284,859","11,135,797","-","7.48","5.23","5.31","5.01","-","19,831.14","20,737.39","19,797.61","20,814.57","-","758,176,431","753,466,710","764,133,753","823,825,331","-","191,978,712","203,593,917","208,581,884","221,673,281","-","1,469,334.17","1,520,618.99","1,470,902.32","1,539,860.43","-","372,051.77","410,885.81","401,505.07","414,342.58","-","1.71","1.73","1.64","1.61","-","1.59","1.72","1.59","1.56"
"Morris","Morris County Vocational","-","916","5,064.5","988","4,977","-","6,351,286","85,246,039","6,351,286","91,073,093","-","1,212,619","1,212,619","1,233,065","6,835,444","-","7,563,905","86,458,658","7,584,351","97,908,537","-","16.03","1.4","16.26","6.98","-","8,257.54","17,071.51","7,676.47","19,672.2","-","-","7,680,500,776","-","8,480,846,020","-","-","2,596,108,540","-","2,726,905,663","-","-","1,516,536.83","-","1,704,007.64","-","-","512,609.05","-","547,901.48","-","-","1.73","-","1.78","-","-","2.15","-","2.06"
"Morris","Morris Hills Regional","-","2,856.5","2,853","2,868","2,771.5","-","53,092,975","54,322,759","54,322,759","58,778,040","-","7,954,403","7,622,139","7,673,207","7,765,255","-","61,047,378","61,944,898","61,995,966","66,543,295","-","13.03","12.3","12.38","11.67","-","21,371.39","21,712.2","21,616.45","24,009.85","-","2,902,959,508","2,940,984,624","2,974,718,451","3,025,143,699","-","761,844,711","781,866,030","835,179,587","873,468,971","-","1,016,264.49","1,030,839.34","1,037,210.06","1,091,518.56","-","266,705.66","274,050.48","291,206.27","315,161.09","-","1.18","1.17","1.16","1.14","-","1.14","1.15","1.15","1.19"
"Cumberland","Millville","-","4,956.5","4,932","4,840","4,785","-","11,097,656","11,319,609","11,319,609","12,247,999","-","77,585,806","67,959,813","68,009,023","67,197,040","-","88,683,462","79,279,422","79,328,632","79,445,039","-","87.49","85.72","85.73","84.58","-","17,892.36","16,074.5","16,390.21","16,602.93","-","1,577,905,637","1,607,632,682","1,582,301,528","1,565,746,858","-","547,813,364","557,072,833","564,012,753","585,560,785","-","318,350.78","325,959.59","326,921.8","327,219.82","-","110,524.23","112,950.7","116,531.56","122,374.25","-","0.37","0.37","0.36","0.34","-","0.47","0.47","0.46","0.46"
"Cumberland","Maurice River","-","533.5","516","508","471","-","2,702,847","2,715,879","2,715,879","2,953,190","-","4,770,611","4,719,314","4,749,732","4,767,121","-","7,473,458","7,435,193","7,465,611","7,720,311","-","63.83","63.47","63.62","61.75","-","14,008.36","14,409.29","14,696.08","16,391.32","-","303,767,473","294,950,166","294,838,090","279,098,453","-","74,354,583","73,260,554","74,316,554","79,976,934","-","569,386.08","571,608.85","580,389.94","592,565.72","-","139,371.29","141,977.82","146,292.43","169,802.41","-","0.66","0.65","0.65","0.62","-","0.6","0.59","0.58","0.64"
"Cumberland","Lawrence","-","581","589.5","608","533","-","2,157,571","2,204,384","2,204,384","2,283,372","-","6,357,751","6,056,628","6,104,962","6,221,388","-","8,515,322","8,261,012","8,309,346","8,504,760","-","74.66","73.32","73.47","73.15","-","14,656.32","14,013.59","13,666.69","15,956.4","-","212,509,145","212,462,093","220,136,161","228,495,651","-","67,331,193","70,614,847","70,427,880","71,057,470","-","365,764.45","360,410.68","362,066.05","428,697.28","-","115,888.46","119,787.7","115,835.33","133,316.08","-","0.43","0.41","0.4","0.45","-","0.5","0.5","0.46","0.5"
"Cumberland","Hopewell","-","447","436","437","439","-","3,022,062","3,049,811","3,049,811","3,206,625","-","3,414,818","3,414,818","3,429,475","3,425,096","-","6,436,880","6,464,629","6,479,286","6,631,721","-","53.05","52.82","52.93","51.65","-","14,400.18","14,827.13","14,826.74","15,106.43","-","202,939,799","207,163,268","225,060,935","250,176,290","-","76,791,405","78,221,204","83,547,390","91,186,667","-","454,004.02","475,145.11","515,013.58","569,877.65","-","171,792.85","179,406.43","191,183.96","207,714.5","-","0.53","0.54","0.57","0.6","-","0.73","0.75","0.76","0.78"
"Cumberland","Vineland","-","9,853","10,045.5","10,066","9,958.5","-","21,731,439","22,166,068","22,166,068","23,753,425","-","155,712,112","136,686,610","136,799,340","134,750,848","-","177,443,551","158,852,678","158,965,408","158,504,273","-","87.75","86.05","86.06","85.01","-","18,009.09","15,813.32","15,792.31","15,916.48","-","4,045,607,693","4,176,171,096","4,095,438,711","4,078,641,554","-","1,268,919,718","1,261,254,757","1,316,991,123","1,396,599,498","-","410,596.54","415,725.56","406,858.6","409,563.85","-","128,785.11","125,554.2","130,835.6","140,241.95","-","0.48","0.47","0.45","0.43","-","0.55","0.53","0.52","0.53"
"Cumberland","Upper Deerfield","-","855","856","839","803","-","6,513,969","6,644,248","6,644,248","7,050,930","-","6,534,602","6,282,322","6,335,736","6,476,862","-","13,048,571","12,926,570","12,979,984","13,527,792","-","50.08","48.6","48.81","47.88","-","15,261.49","15,101.13","15,470.78","16,846.57","-","434,192,084","429,274,960","416,510,430","435,557,546","-","128,234,849","132,269,079","136,697,333","141,397,590","-","507,827","501,489.44","496,436.75","542,412.88","-","149,982.28","154,519.95","162,928.88","176,086.66","-","0.59","0.57","0.55","0.57","-","0.64","0.65","0.65","0.66"
"Cumberland","Stow Creek","-","109","111","121","116","-","1,019,167","1,030,397","1,030,397","1,100,575","-","832,248","832,248","834,923","818,225","-","1,851,415","1,862,645","1,865,320","1,918,800","-","44.95","44.68","44.76","42.64","-","16,985.46","16,780.59","15,415.87","16,541.38","-","62,588,932","64,116,951","74,486,202","86,869,152","-","22,172,542","23,444,319","27,473,038","30,996,369","-","574,210.39","577,630.19","615,588.45","748,872","-","203,417.82","211,210.08","227,049.9","267,210.08","-","0.67","0.66","0.69","0.78","-","0.87","0.88","0.9","1.01"
"Cumberland","Shiloh","-","40","45","41","47","-","252,378","272,914","272,914","316,250","-","-","-","-","-","-","252,378","272,914","272,914","316,250","-","-","-","-","-","-","6,309.45","6,064.76","6,656.44","6,728.72","-","20,180,030","21,534,283","24,122,238","27,386,477","-","9,311,692","10,923,547","10,547,515","11,483,950","-","504,500.75","478,539.62","588,347.27","582,691","-","232,792.3","242,745.49","257,256.46","244,339.36","-","0.59","0.55","0.66","0.61","-","0.99","1.02","1.02","0.92"
"Passaic","Lakeland Regional","-","985.5","988.5","969","968","-","16,000,000","16,520,000","16,520,000","18,461,751","-","5,093,275","4,828,036","4,837,506","4,837,506","-","21,093,275","21,348,036","21,357,506","23,299,257","-","24.15","22.62","22.65","20.76","-","21,403.63","21,596.39","22,040.77","24,069.48","-","897,547,567","912,897,332","899,632,275","975,968,234","-","274,815,092","287,518,200","304,415,143","317,303,963","-","910,753.49","923,517.79","928,413.08","1,008,231.65","-","278,858.54","290,863.13","314,153.91","327,793.35","-","1.06","1.05","1.04","1.06","-","1.19","1.22","1.25","1.23"
"Bergen","Alpine","-","228.5","222","227","193","-","5,818,441","5,934,795","5,934,795","6,475,269","-","193,450","143,886","146,821","155,398","-","6,011,891","6,078,681","6,081,616","6,630,667","-","3.22","2.37","2.41","2.34","-","26,310.25","27,381.45","26,791.26","34,355.79","-","2,444,644,594","2,304,066,745","2,437,030,765","2,218,106,483","-","589,329,347","607,257,521","453,014,474","549,276,780","-","10,698,663.43","10,378,679.03","10,735,818.35","11,492,779.7","-","2,579,121.87","2,735,394.24","1,995,658.48","2,845,993.68","-","12.46","11.83","11.97","12.04","-","11.02","11.46","7.91","10.72"
"Passaic","Little Falls","-","880","882","892","852","-","13,403,910","13,671,988","13,671,988","14,508,823","-","628,382","529,221","540,494","575,388","-","14,032,292","14,201,209","14,212,482","15,084,211","-","4.48","3.73","3.8","3.81","-","15,945.79","16,101.14","15,933.28","17,704.47","-","1,141,827,542","1,136,418,136","1,123,700,374","1,168,723,784","-","287,313,232","296,353,698","314,435,048","330,829,672","-","1,297,531.3","1,288,455.94","1,259,753.78","1,371,741.53","-","326,492.31","336,001.93","352,505.66","388,297.74","-","1.51","1.47","1.4","1.44","-","1.39","1.41","1.4","1.46"
"Passaic","Manchester Regional","-","920","885","874","848","-","10,345,405","10,702,313","10,702,313","11,612,380","-","6,603,266","6,486,069","6,588,302","7,152,073","-","16,948,671","17,188,382","17,290,615","18,764,453","-","38.96","37.74","38.1","38.12","-","18,422.47","19,421.9","19,783.31","22,127.89","-","368,550,803","331,980,954","347,182,097","368,709,185","-","116,691,753","107,285,784","112,915,645","117,328,769","-","400,598.7","375,119.72","397,233.52","434,798.57","-","126,838.86","121,226.87","129,194.1","138,359.4","-","0.47","0.43","0.44","0.46","-","0.54","0.51","0.51","0.52"
"Passaic","North Haledon","-","718","702","654","628","-","8,658,921","8,832,095","8,832,095","9,424,003","-","492,154","404,942","416,389","430,615","-","9,151,075","9,237,037","9,248,484","9,854,618","-","5.38","4.38","4.5","4.37","-","12,745.23","13,158.17","14,141.41","15,692.07","-","1,160,131,413","1,176,665,715","1,189,700,542","1,248,794,289","-","343,632,510","339,010,383","351,839,138","369,379,118","-","1,615,781.91","1,676,161.99","1,819,113.98","1,988,525.94","-","478,596.81","482,920.77","537,980.33","588,183.31","-","1.88","1.91","2.03","2.08","-","2.04","2.02","2.13","2.22"
